,Gold,Silver,Copper
2021-07-06,1793.5,26.15399932861328,4.257999897003174
2021-07-07,1801.5,26.110000610351562,4.328999996185303
2021-07-08,1799.5999755859375,25.966999053955078,4.271500110626221
2021-07-09,1810.0,26.211000442504883,4.352499961853027
2021-07-12,1805.5,26.216999053955078,4.322999954223633
2021-07-13,1809.4000244140625,26.114999771118164,4.314499855041504
2021-07-14,1824.300048828125,26.246000289916992,4.2769999504089355
2021-07-15,1828.4000244140625,26.375,4.333000183105469
2021-07-16,1814.5,25.777000427246094,4.332499980926514
2021-07-19,1808.699951171875,25.125999450683594,4.2104997634887695
2021-07-20,1810.9000244140625,24.976999282836914,4.273499965667725
2021-07-21,1802.9000244140625,25.238000869750977,4.28249979019165
2021-07-22,1805.0,25.364999771118164,4.3480000495910645
2021-07-23,1801.4000244140625,25.218000411987305,4.406499862670898
2021-07-26,1798.699951171875,25.295000076293945,4.589000225067139
2021-07-27,1799.5,24.631999969482422,4.546000003814697
2021-07-28,1799.5,24.856000900268555,4.479000091552734
2021-07-29,1831.199951171875,25.763999938964844,4.519999980926514
2021-07-30,1812.5999755859375,25.527999877929688,4.480500221252441
2021-08-02,1818.0999755859375,25.55699920654297,4.432000160217285
2021-08-03,1810.0999755859375,25.56599998474121,4.382999897003174
2021-08-04,1810.5,25.445999145507812,4.329999923706055
2021-08-05,1805.0999755859375,25.277000427246094,4.3454999923706055
2021-08-06,1760.0,24.312000274658203,4.3454999923706055
2021-08-09,1723.4000244140625,23.2549991607666,4.2870001792907715
2021-08-10,1728.800048828125,23.37700080871582,4.351500034332275
2021-08-11,1750.4000244140625,23.474000930786133,4.363999843597412
2021-08-12,1749.0,23.104999542236328,4.355999946594238
2021-08-13,1775.199951171875,23.76799964904785,4.38700008392334
2021-08-16,1786.9000244140625,23.780000686645508,4.322000026702881
2021-08-17,1785.0,23.648000717163086,4.199999809265137
2021-08-18,1781.5999755859375,23.41200065612793,4.116000175476074
2021-08-19,1780.199951171875,23.219999313354492,4.03849983215332
2021-08-20,1781.0,23.104999542236328,4.134500026702881
2021-08-23,1803.199951171875,23.64900016784668,4.234499931335449
2021-08-24,1805.5999755859375,23.889999389648438,4.255000114440918
2021-08-25,1788.199951171875,23.770999908447266,4.264999866485596
2021-08-26,1792.199951171875,23.54599952697754,4.245999813079834
2021-08-27,1816.5999755859375,24.059999465942383,4.316500186920166
2021-08-30,1809.0,23.959999084472656,4.361000061035156
2021-08-31,1815.0,23.959999084472656,4.360000133514404
2021-09-01,1813.0999755859375,24.177000045776367,4.263000011444092
2021-09-02,1808.699951171875,23.875,4.289999961853027
2021-09-03,1830.9000244140625,24.761999130249023,4.325500011444092
2021-09-07,1795.9000244140625,24.333999633789062,4.277500152587891
2021-09-08,1790.699951171875,24.011999130249023,4.23199987411499
2021-09-09,1797.4000244140625,24.132999420166016,4.2835001945495605
2021-09-10,1789.5999755859375,23.854999542236328,4.447999954223633
2021-09-13,1792.0,23.753000259399414,4.363500118255615
2021-09-14,1804.699951171875,23.841999053955078,4.317999839782715
2021-09-15,1792.4000244140625,23.759000778198242,4.403500080108643
2021-09-16,1754.5999755859375,22.75200080871582,4.278500080108643
2021-09-17,1749.4000244140625,22.295000076293945,4.245500087738037
2021-09-20,1761.800048828125,22.163000106811523,4.117000102996826
2021-09-21,1776.0,22.572999954223633,4.127999782562256
2021-09-22,1776.699951171875,22.868999481201172,4.252500057220459
2021-09-23,1747.699951171875,22.642000198364258,4.230999946594238
2021-09-24,1749.699951171875,22.38800048828125,4.287499904632568
2021-09-27,1750.0,22.656999588012695,4.293499946594238
2021-09-28,1735.800048828125,22.43000030517578,4.244999885559082
2021-09-29,1721.5,21.458999633789062,4.199999809265137
2021-09-30,1755.300048828125,22.020999908447266,4.090000152587891
2021-10-01,1757.0,22.510000228881836,4.19350004196167
2021-10-04,1766.199951171875,22.618000030517578,4.246500015258789
2021-10-05,1759.5999755859375,22.582000732421875,4.202000141143799
