date,두바이유
2021-06-01,71.0
2021-07-01,73.0
2021-08-01,68.9
2021-09-01,72.2
2021-10-01,81.2
2021-11-01,79.8
2021-12-01,72.8
2022-01-01,83.1
2022-02-01,93.1
2022-03-01,113.1
2022-04-01,102.7
2022-05-01,108.3
2022-06-01,115.7
2022-07-01,106.5
2022-08-01,97.8
2022-09-01,90.6
2022-10-01,90.6
2022-11-01,86.3
2022-12-01,76.8
2023-01-01,80.0
2023-02-01,81.2
2023-03-01,77.5
2023-04-01,83.8
2023-05-01,75.1
2023-06-01,74.7
2023-07-01,80.5
2023-08-01,86.6
2023-09-01,93.1
2023-10-01,90.6
2023-11-01,83.5
2023-12-01,77.2
2024-01-01,78.9
2024-02-01,81.2
2024-03-01,84.7
2024-04-01,89.4
2024-05-01,83.5
2024-06-01,82.2
2024-07-01,83.9
2024-08-01,78.0
2024-09-01,73.4
2024-10-01,74.7
2024-11-01,72.8
2024-12-01,73.3
2025-01-01,80.1
2025-02-01,75.0
2025-03-01,71.7
2025-04-01,66.9
2025-05-01,63.0
2025-06-01,68.5
2025-07-01,69.2
2025-08-01,67.9
2025-09-01,67.8
2025-10-01,64.3
2025-11-01,63.8
2025-12-01,62.0
2026-01-01,63.9
2026-02-01,68.4
2026-03-01,91.9
2026-04-01,92.7
2026-05-01,94.7
2026-06-01,77.7
