date,Urea,DAP,Potash
2021-06-01,393.3,604.8,462.5
2021-07-01,441.5,613.0,633.0
2021-08-01,446.9,603.1,695.0
2021-09-01,418.8,643.8,736.3
2021-10-01,695.0,672.9,782.0
2021-11-01,900.5,726.7,806.9
2021-12-01,890.0,745.0,807.5
2022-01-01,846.4,699.4,785.6
2022-02-01,744.2,747.1,791.9
2022-03-01,872.5,938.1,977.5
2022-04-01,925.0,954.0,1202.0
2022-05-01,707.5,842.5,1170.0
2022-06-01,690.0,783.8,1101.9
2022-07-01,601.0,784.0,1013.0
2022-08-01,591.3,749.4,888.8
2022-09-01,678.0,752.0,731.0
2022-10-01,636.3,725.0,622.5
2022-11-01,588.8,665.6,563.1
2022-12-01,519.4,625.0,513.8
2023-01-01,443.8,631.0,508.8
2023-02-01,357.5,612.5,496.9
2023-03-01,313.5,606.0,453.0
2023-04-01,313.4,637.0,407.5
2023-05-01,329.3,510.0,372.5
2023-06-01,287.5,454.6,328.0
2023-07-01,334.6,458.8,341.3
2023-08-01,385.6,528.8,353.1
2023-09-01,380.0,527.9,352.0
2023-10-01,411.4,534.8,341.9
2023-11-01,385.5,535.6,331.9
2023-12-01,354.0,563.8,311.9
2024-01-01,335.4,596.3,296.3
2024-02-01,351.3,583.8,289.4
2024-03-01,330.0,617.5,300.5
2024-04-01,320.0,545.0,305.0
2024-05-01,284.8,522.0,307.0
2024-06-01,336.3,543.0,310.0
2024-07-01,342.5,539.4,300.6
2024-08-01,342.5,546.0,294.0
2024-09-01,337.5,554.8,286.9
2024-10-01,374.8,573.4,278.1
2024-11-01,352.3,574.5,281.0
2024-12-01,352.0,568.3,292.5
2025-01-01,380.5,582.7,302.0
2025-02-01,436.5,603.8,318.8
2025-03-01,394.5,615.1,336.3
2025-04-01,386.9,635.0,351.9
2025-05-01,392.0,669.2,362.5
2025-06-01,420.5,715.4,363.1
2025-07-01,496.0,736.0,362.5
2025-08-01,507.7,795.1,356.5
2025-09-01,461.1,780.6,352.5
2025-10-01,394.4,754.0,352.0
2025-11-01,409.3,708.3,353.8
2025-12-01,392.5,627.5,358.3
2026-01-01,415.4,619.2,366.0
2026-02-01,472.0,626.5,372.5
2026-03-01,725.6,658.3,380.6
2026-04-01,856.9,725.3,401.3
2026-05-01,770.5,769.5,405.0
2026-06-01,453.1,783.8,402.5
