date,건화물종합,케이프,파나막스,수프라막스,핸디
2021-07-05,32831.0,31203.0,38077.0,31108.0,27150.0
2021-07-06,32565.0,30440.0,37976.0,31155.0,26939.0
2021-07-07,32651.0,30885.0,38068.0,30926.0,26875.0
2021-07-08,33359.0,32925.0,38246.0,31101.0,26777.0
2021-07-09,33303.0,32894.0,38084.0,31145.0,26663.0
2021-07-12,33342.0,33344.0,37897.0,31032.0,26600.0
2021-07-13,33223.0,33338.0,37731.0,30864.0,26427.0
2021-07-14,32625.0,32240.0,37319.0,30456.0,26200.0
2021-07-15,31519.0,30807.0,35496.0,30060.0,26102.0
2021-07-16,31168.0,31130.0,34445.0,29869.0,25345.0
2021-07-19,31123.0,31478.0,34229.0,29617.0,25258.0
2021-07-20,31245.0,32105.0,34058.0,29612.0,25123.0
2021-07-21,31293.0,32265.0,33900.0,29754.0,25176.0
2021-07-22,31653.0,33071.0,33859.0,30085.0,25481.0
2021-07-23,32709.0,35931.0,33942.0,30568.0,25764.0
2021-07-26,33124.0,36964.0,33895.0,30857.0,26095.0
2021-07-27,32954.0,36476.0,33719.0,30936.0,26153.0
2021-07-28,32796.0,36045.0,33502.0,30976.0,26394.0
2021-07-29,33068.0,37268.0,33011.0,31142.0,26418.0
2021-07-30,33530.0,38885.0,32750.0,31278.0,26562.0
2021-08-02,34189.0,40738.0,32447.0,31661.0,27353.0
2021-08-03,34100.0,40154.0,32464.0,31875.0,27517.0
2021-08-04,34231.0,40292.0,32582.0,32003.0,27678.0
2021-08-05,34593.0,41158.0,32740.0,32199.0,27638.0
2021-08-06,34878.0,41794.0,32863.0,32304.0,27902.0
2021-08-09,34765.0,41075.0,33050.0,32413.0,28036.0
2021-08-10,35081.0,41436.0,33136.0,32970.0,28182.0
2021-08-11,35027.0,40656.0,33369.0,33207.0,28573.0
2021-08-12,35490.0,41431.0,33626.0,33615.0,28889.0
2021-08-13,35945.0,42253.0,33780.0,33998.0,29357.0
2021-08-17,37078.0,44610.0,34180.0,34660.0,30436.0
2021-08-18,37744.0,45706.0,34645.0,35193.0,30812.0
2021-08-19,39060.0,49058.0,35040.0,35690.0,31241.0
2021-08-20,40193.0,51669.0,35230.0,36407.0,32012.0
2021-08-23,40791.0,52866.0,35362.0,36905.0,32514.0
2021-08-24,41326.0,53739.0,35677.0,37391.0,32841.0
2021-08-25,41993.0,53921.0,36446.0,38425.0,33559.0
2021-08-26,42003.0,52462.0,36773.0,39299.0,34427.0
2021-08-27,42234.0,52481.0,36984.0,39710.0,34819.0
2021-08-30,42417.0,52806.0,36997.0,39936.0,34951.0
2021-08-31,42285.0,52350.0,37006.0,39928.0,34996.0
2021-09-01,41104.0,49325.0,36760.0,39463.0,34398.0
