,USD/KRW,CNY/KRW,EUR/KRW,JPY/KRW (per 100)
2021-06-30,1128.5,174.59,1341.5,1021.41
2021-07-01,1133.0,175.08,1344.36,1016.55
2021-07-02,1136.0,175.15,1343.66,1019.52
2021-07-05,1131.0,175.04,1343.4,1020.53
2021-07-06,1134.0,175.3,1342.66,1024.16
2021-07-07,1137.5,175.92,1345.15,1027.0
2021-07-08,1149.5,176.91,1360.78,1047.05
2021-07-09,1148.5,176.94,1361.95,1044.04
2021-07-12,1148.0,177.15,1360.61,1042.59
2021-07-13,1145.5,177.0,1357.07,1039.14
2021-07-14,1150.0,177.67,1356.71,1040.68
2021-07-15,1142.0,176.82,1350.07,1038.51
2021-07-16,1141.0,176.26,1346.67,1035.06
2021-07-19,1152.0,177.43,1356.71,1049.28
2021-07-20,1149.0,177.15,1353.52,1050.13
2021-07-21,1154.5,178.29,1359.14,1048.5
2021-07-22,1149.5,177.72,1355.61,1042.2
2021-07-23,1151.5,177.71,1355.03,1042.22
2021-07-26,1155.0,178.01,1362.32,1047.14
2021-07-27,1154.0,177.19,1360.34,1048.0
2021-07-28,1154.0,177.32,1363.51,1049.42
2021-07-29,1146.5,177.43,1361.53,1043.55
2021-07-30,1152.0,178.27,1367.54,1049.99
2021-08-02,1151.0,178.07,1368.54,1050.9
2021-08-03,1148.5,177.69,1365.05,1051.69
2021-08-04,1144.0,177.15,1356.27,1047.76
2021-08-05,1143.5,177.1,1354.48,1044.67
2021-08-06,1146.0,176.96,1347.87,1039.31
2021-08-09,1146.0,176.88,1347.01,1040.45
2021-08-10,1151.0,177.53,1349.37,1041.82
2021-08-11,1157.0,178.59,1358.32,1047.39
2021-08-12,1163.5,179.58,1365.48,1053.47
2021-08-13,1169.0,180.29,1373.52,1060.13
2021-08-17,1174.5,181.15,1381.92,1074.61
2021-08-18,1170.5,180.48,1370.89,1066.27
2021-08-19,1177.0,181.23,1376.15,1073.37
2021-08-20,1183.5,181.94,1381.8,1079.74
2021-08-23,1172.0,180.57,1373.23,1064.58
2021-08-24,1167.5,180.24,1370.53,1064.31
2021-08-25,1167.5,180.3,1371.29,1062.96
2021-08-26,1170.5,180.66,1378.32,1063.46
2021-08-27,1170.0,180.57,1375.74,1062.09
2021-08-30,1165.0,180.21,1374.18,1060.59
2021-08-31,1157.5,179.21,1369.96,1052.99
2021-09-01,1159.5,179.47,1370.59,1050.89
2021-09-02,1159.0,179.6,1373.88,1053.68
2021-09-03,1157.0,179.59,1373.71,1052.63
2021-09-06,1157.0,179.35,1372.9,1052.97
2021-09-07,1162.0,179.85,1378.89,1056.65
2021-09-08,1167.0,180.71,1379.1,1058.55
2021-09-09,1170.0,181.31,1384.11,1064.41
2021-09-10,1170.0,181.56,1382.36,1064.27
2021-09-13,1175.0,182.11,1383.62,1067.02
2021-09-14,1171.5,181.84,1382.43,1063.6
2021-09-15,1168.0,181.72,1381.57,1069.06
2021-09-16,1173.5,182.16,1381.03,1072.82
2021-09-17,1184.0,182.8,1389.07,1080.54
2021-09-23,1174.0,181.74,1375.11,1068.49
2021-09-24,1178.0,182.11,1382.44,1066.5
2021-09-27,1181.0,182.69,1382.77,1064.83
2021-09-28,1187.0,183.63,1386.42,1065.15
2021-09-29,1185.0,183.16,1381.47,1064.26
2021-09-30,1186.0,183.34,1372.74,1058.6
