date,신용융자,신용융자_코스피,신용융자_코스닥,예탁증권담보융자
2021-07-05,24.4452,13.5385,10.9068,18.7301
2021-07-06,24.5335,13.6052,10.9283,18.7647
2021-07-07,24.5841,13.6346,10.9495,18.7537
2021-07-08,24.5978,13.6053,10.9925,18.7439
2021-07-09,24.6143,13.6247,10.9895,19.3372
2021-07-12,24.537,13.5544,10.9825,19.3335
2021-07-13,24.4826,13.5492,10.9334,18.7762
2021-07-14,24.4767,13.5341,10.9426,18.7136
2021-07-15,24.535,13.528,11.007,18.7199
2021-07-16,24.6702,13.6187,11.0515,18.7425
2021-07-19,24.7713,13.6636,11.1077,18.7762
2021-07-20,24.7304,13.6321,11.0983,18.8158
2021-07-21,24.7184,13.6408,11.0777,18.8973
2021-07-22,24.62,13.5834,11.0366,18.9094
2021-07-23,24.6483,13.5718,11.0765,18.86
2021-07-26,24.5846,13.5255,11.0592,18.8177
2021-07-27,24.6002,13.5181,11.0821,19.1998
2021-07-28,24.5968,13.5166,11.0802,19.1802
2021-07-29,24.5482,13.4698,11.0784,18.7165
2021-07-30,24.4535,13.4107,11.0428,18.8013
2021-08-02,24.4465,13.403,11.0434,18.7508
2021-08-03,24.3686,13.3709,10.9977,18.6379
2021-08-04,24.2819,13.3008,10.9811,18.5999
2021-08-05,24.2158,13.2451,10.9706,18.592
2021-08-06,24.1624,13.1705,10.9919,18.5379
2021-08-09,24.4387,13.3259,11.1128,18.5765
2021-08-10,24.6598,13.4433,11.2165,19.224
2021-08-11,24.8922,13.5624,11.3298,19.2532
2021-08-12,24.9558,13.6007,11.355,19.1743
2021-08-13,25.0956,13.7034,11.3922,19.2245
2021-08-17,25.4712,13.9367,11.5345,19.3526
2021-08-18,25.6112,14.0686,11.5425,19.4304
2021-08-19,25.3656,13.915,11.4506,19.3551
2021-08-20,25.1957,13.8225,11.3731,19.1582
2021-08-23,25.0676,13.7488,11.3188,19.3265
2021-08-24,24.578,13.4759,11.1021,19.3415
2021-08-25,24.4542,13.4148,11.0394,19.7102
2021-08-26,24.4574,13.3663,11.0911,19.6194
2021-08-27,24.6763,13.4366,11.2396,18.976
2021-08-30,24.8216,13.5164,11.3052,19.0338
2021-08-31,24.9206,13.5604,11.3602,19.1083
2021-09-01,25.0357,13.6325,11.4032,19.3826
2021-09-02,25.0229,13.5786,11.4442,19.3854
2021-09-03,25.1404,13.6311,11.5092,19.1287
2021-09-06,25.3105,13.7483,11.5622,19.2575
2021-09-07,25.361,13.7469,11.614,19.2495
2021-09-08,25.4172,13.766,11.6512,20.0854
2021-09-09,25.5751,13.8739,11.7012,20.0492
2021-09-10,25.5749,13.8689,11.706,19.2834
2021-09-13,25.654,13.9788,11.6752,19.3596
2021-09-14,25.5904,13.9275,11.6629,19.2872
2021-09-15,25.5281,13.8829,11.6453,19.5186
2021-09-16,25.4562,13.8142,11.642,19.3258
2021-09-17,25.3853,13.7784,11.6069,19.2107
2021-09-23,25.3536,13.7736,11.5799,19.2691
2021-09-24,25.284,13.7534,11.5305,19.2577
2021-09-27,25.1487,13.6837,11.4649,19.3195
2021-09-28,25.0474,13.622,11.4254,19.515
2021-09-29,24.9859,13.5777,11.4082,19.576
2021-09-30,24.8393,13.5216,11.3177,19.4755
2021-10-01,24.5838,13.415,11.1688,19.457
2021-10-05,24.4807,13.3442,11.1365,19.3513
2021-10-06,24.1042,13.1458,10.9584,19.3978
2021-10-07,23.6426,12.9151,10.7275,19.3079
2021-10-08,23.0355,12.5877,10.4478,19.2556
2021-10-12,22.8069,12.4607,10.3462,19.07
2021-10-13,22.897,12.4883,10.4087,19.1316
2021-10-14,23.0539,12.6145,10.4394,19.1878
2021-10-15,23.0687,12.6253,10.4434,19.0127
2021-10-18,23.2288,12.7183,10.5105,19.0265
2021-10-19,23.4,12.7789,10.6211,19.0956
2021-10-20,23.5863,12.8978,10.6885,19.1944
2021-10-21,23.6948,12.9239,10.7709,19.2382
2021-10-22,23.7923,12.945,10.8473,19.4559
2021-10-25,23.8141,12.9342,10.8799,19.4502
2021-10-26,23.8071,12.9238,10.8833,19.2146
2021-10-27,23.866,12.9557,10.9103,19.2864
2021-10-28,23.9017,12.9517,10.95,19.2847
2021-10-29,24.0314,13.0394,10.9919,19.2993
2021-11-01,24.0275,13.0429,10.9846,19.4488
2021-11-02,24.0173,13.0573,10.96,19.6705
2021-11-03,23.9122,12.9621,10.9501,19.7114
2021-11-04,23.8955,12.8936,11.0019,19.3588
2021-11-05,24.0292,12.9853,11.0439,19.5224
2021-11-08,23.8875,12.9165,10.971,19.5548
2021-11-09,23.8457,12.9303,10.9155,19.4718
2021-11-10,23.8575,12.9462,10.9112,19.4568
2021-11-11,23.7852,12.8853,10.8999,19.4306
2021-11-12,23.6459,12.8041,10.8418,19.5554
2021-11-15,23.5208,12.7366,10.7842,19.5101
2021-11-16,23.4491,12.6513,10.7978,19.4337
2021-11-17,23.4985,12.6662,10.8323,19.5369
2021-11-18,23.5933,12.6991,10.8942,19.493
2021-11-19,23.6699,12.7245,10.9455,19.4759
2021-11-22,23.7272,12.7301,10.9971,19.5478
2021-11-23,23.6979,12.7042,10.9936,19.5142
2021-11-24,23.5738,12.6231,10.9507,19.652
2021-11-25,23.4831,12.6081,10.8749,19.6468
2021-11-26,23.5879,12.6609,10.927,19.6023
2021-11-29,23.661,12.687,10.974,19.6784
2021-11-30,23.453,12.5759,10.877,19.8189
2021-12-01,23.1237,12.348,10.7757,19.688
2021-12-02,22.7473,12.1171,10.6303,19.5844
2021-12-03,22.5499,11.9972,10.5527,19.4339
2021-12-06,22.4947,11.9565,10.5382,19.4046
2021-12-07,22.5512,11.9912,10.56,19.367
2021-12-08,22.7065,12.0682,10.6383,19.503
2021-12-09,22.8024,12.1327,10.6697,19.5686
2021-12-10,22.8464,12.1183,10.7281,19.5169
2021-12-13,22.9092,12.1009,10.8083,19.4113
2021-12-14,23.086,12.1614,10.9246,19.5051
2021-12-15,23.1175,12.144,10.9735,19.6122
2021-12-16,23.1525,12.1878,10.9646,19.6671
2021-12-17,23.2189,12.2362,10.9827,19.6305
2021-12-20,23.2673,12.2381,11.0292,19.6314
2021-12-21,23.2097,12.198,11.0117,19.5924
2021-12-22,23.2359,12.2577,10.9783,19.6456
2021-12-23,23.1861,12.2199,10.9662,19.5549
2021-12-24,23.1686,12.1851,10.9834,19.4542
2021-12-27,23.1325,12.159,10.9736,19.4616
2021-12-28,23.0934,12.1118,10.9816,19.4225
2021-12-29,23.1488,12.1255,11.0233,19.2969
2021-12-30,23.0972,12.0552,11.042,19.237
2021-12-31,23.0886,12.0502,11.0384,18.171
2022-01-03,23.3284,12.1274,11.201,19.0966
2022-01-04,23.4196,12.1759,11.2437,19.1321
2022-01-05,23.51,12.1947,11.3153,19.1611
2022-01-06,23.715,12.3193,11.3956,19.3074
2022-01-07,23.8106,12.4001,11.4105,19.3945
2022-01-10,23.5333,12.2815,11.2518,19.4241
2022-01-11,23.5182,12.2576,11.2606,19.3138
2022-01-12,23.651,12.3406,11.3104,19.3969
2022-01-13,23.5017,12.2674,11.2342,19.4367
2022-01-14,23.4831,12.2188,11.2643,19.2983
2022-01-17,23.5636,12.2413,11.3223,19.5051
2022-01-18,23.5692,12.3037,11.2655,19.8905
2022-01-19,23.4315,12.2587,11.1728,21.3491
2022-01-20,23.1717,12.1402,11.0315,21.2409
2022-01-21,22.9474,12.0209,10.9265,19.4508
2022-01-24,22.9147,12.0342,10.8805,19.2888
2022-01-25,22.799,11.9643,10.8347,19.4205
2022-01-26,22.5237,11.8063,10.7174,19.5008
2022-01-27,22.0048,11.5646,10.4401,19.455
2022-01-28,21.6729,11.4025,10.2705,19.4012
2022-02-03,21.3385,11.265,10.0735,19.4107
2022-02-04,21.039,11.1138,9.9252,19.1956
2022-02-07,21.0438,11.1082,9.9356,19.1807
2022-02-08,21.218,11.201,10.017,19.2811
2022-02-09,21.4706,11.3448,10.1258,19.3278
2022-02-10,21.5028,11.3321,10.1707,19.4149
2022-02-11,21.5475,11.3424,10.2051,19.3828
2022-02-14,21.5918,11.3503,10.2415,19.4524
2022-02-15,21.4349,11.2894,10.1455,19.5055
2022-02-16,21.1264,11.1548,9.9716,19.5307
2022-02-17,20.8092,11.0065,9.8027,19.4368
2022-02-18,20.7412,10.9658,9.7754,19.253
2022-02-21,20.7251,10.9036,9.8215,19.2196
2022-02-22,20.7931,10.9499,9.8432,19.2788
2022-02-23,20.893,11.0065,9.8865,19.3149
2022-02-24,20.8851,11.0314,9.8537,19.4918
2022-02-25,20.9549,11.0829,9.872,19.5427
2022-02-28,20.897,11.0795,9.8175,19.7109
2022-03-02,20.8134,11.0327,9.7807,19.5969
2022-03-03,20.8352,11.0466,9.7886,19.623
2022-03-04,20.9909,11.1522,9.8386,19.5794
2022-03-07,21.1054,11.1846,9.9208,19.5743
2022-03-08,21.3872,11.3518,10.0353,19.7631
2022-03-10,21.454,11.4591,9.9949,19.7847
2022-03-11,21.3899,11.4278,9.9621,19.7112
2022-03-14,21.3083,11.3739,9.9344,19.6505
2022-03-15,21.4279,11.4649,9.963,19.8097
2022-03-16,21.547,11.5197,10.0274,19.9063
2022-03-17,21.4753,11.4802,9.9951,19.8564
2022-03-18,21.4798,11.4744,10.0054,19.7302
2022-03-21,21.4335,11.4041,10.0293,19.7813
2022-03-22,21.5302,11.4481,10.0821,19.9164
2022-03-23,21.6568,11.534,10.1228,19.9899
2022-03-24,21.6799,11.5335,10.1464,19.8757
2022-03-25,21.7416,11.5451,10.1965,19.936
2022-03-28,21.8801,11.6493,10.2308,20.0629
2022-03-29,21.9836,11.719,10.2646,20.1248
2022-03-30,22.0696,11.7372,10.3324,20.1638
2022-03-31,22.0428,11.726,10.3168,20.1829
2022-04-01,22.0192,11.6845,10.3346,20.1822
2022-04-04,22.0455,11.6649,10.3806,20.0293
2022-04-05,22.1584,11.7377,10.4207,20.0448
2022-04-06,22.1871,11.7426,10.4445,20.0178
2022-04-07,22.2588,11.7914,10.4674,20.0237
2022-04-08,22.3299,11.8324,10.4975,20.0727
2022-04-11,22.3363,11.8503,10.486,20.136
2022-04-12,22.281,11.8362,10.4448,20.0923
2022-04-13,22.2998,11.8399,10.4599,20.0576
2022-04-14,22.2345,11.8339,10.4006,20.085
2022-04-15,22.2067,11.7848,10.422,19.9757
2022-04-18,22.289,11.8223,10.4667,20.0118
2022-04-19,22.3625,11.8832,10.4793,20.0516
2022-04-20,22.3465,11.8827,10.4638,20.1496
2022-04-21,22.3308,11.8881,10.4427,20.1083
2022-04-22,22.3978,11.9216,10.4762,20.0287
2022-04-25,22.3753,11.8805,10.4947,19.596
2022-04-26,22.4605,11.9464,10.5141,19.6903
2022-04-27,22.3362,11.8994,10.4368,19.7746
2022-04-28,22.2964,11.8903,10.4061,19.7376
2022-04-29,22.2617,11.8859,10.3758,20.0504
2022-05-02,22.2054,11.862,10.3434,20.0761
2022-05-03,22.1824,11.8424,10.34,19.943
2022-05-04,22.2625,11.8978,10.3647,20.0153
2022-05-06,22.2991,11.9227,10.3765,20.0394
2022-05-09,22.3366,11.9362,10.4004,20.1128
2022-05-10,22.2674,11.9209,10.3464,20.1136
2022-05-11,22.0281,11.8261,10.202,20.0699
2022-05-12,21.8248,11.7482,10.0766,20.0458
2022-05-13,21.8411,11.7897,10.0513,20.096
2022-05-16,21.6788,11.6913,9.9874,20.2091
2022-05-17,21.4907,11.5733,9.9174,19.9574
2022-05-18,21.517,11.5732,9.9438,19.9123
2022-05-19,21.5537,11.5891,9.9646,19.9012
2022-05-20,21.6258,11.6013,10.0245,19.9054
2022-05-23,21.6458,11.6127,10.0331,19.9847
2022-05-24,21.5877,11.541,10.0467,19.8866
2022-05-25,21.6651,11.5475,10.1176,19.9388
2022-05-26,21.6652,11.546,10.1192,20.0447
2022-05-27,21.6072,11.5087,10.0985,19.9101
2022-05-30,21.6247,11.5146,10.1101,19.8983
2022-05-31,21.5646,11.428,10.1366,19.925
2022-06-02,21.5313,11.3728,10.1585,19.883
2022-06-03,21.5751,11.3685,10.2067,19.8658
2022-06-07,21.7111,11.4737,10.2374,19.9222
2022-06-08,21.6434,11.4071,10.2363,19.9428
2022-06-09,21.7135,11.4866,10.2269,20.067
2022-06-10,21.6393,11.4479,10.1914,20.035
2022-06-13,21.6197,11.4439,10.1759,20.1526
2022-06-14,21.6086,11.4737,10.1348,20.2179
2022-06-15,21.1442,11.2419,9.9023,20.2607
2022-06-16,20.6863,11.0251,9.6612,20.1239
2022-06-17,20.3573,10.8572,9.5001,19.9951
2022-06-20,20.03,10.7021,9.328,19.8622
2022-06-21,19.8546,10.6079,9.2467,19.8033
2022-06-22,19.5308,10.4549,9.0759,19.7904
2022-06-23,19.2161,10.3134,8.9027,19.7041
2022-06-24,18.8919,10.1409,8.751,19.7176
2022-06-27,18.0443,9.7166,8.3277,19.5893
2022-06-28,17.7156,9.5732,8.1424,19.3443
2022-06-29,17.7529,9.5731,8.1799,19.3317
2022-06-30,17.8683,9.6289,8.2394,19.3851
2022-07-01,17.9892,9.7169,8.2722,19.472
2022-07-04,17.939,9.7059,8.2331,19.4954
2022-07-05,17.7636,9.6211,8.1425,19.4569
2022-07-06,17.5859,9.5222,8.0637,19.3875
2022-07-07,17.4946,9.4727,8.0219,19.3159
2022-07-08,17.6473,9.581,8.0664,19.3748
2022-07-11,17.6505,9.5496,8.1009,19.265
2022-07-12,17.7103,9.5673,8.143,19.2398
2022-07-13,17.8189,9.6161,8.2028,19.2952
2022-07-14,17.8648,9.6134,8.2514,19.3498
2022-07-15,17.8494,9.5864,8.263,19.3526
2022-07-18,17.9193,9.6088,8.3105,19.3595
2022-07-19,18.0053,9.6266,8.3788,19.6426
2022-07-20,18.0118,9.5935,8.4183,19.612
2022-07-21,18.147,9.6536,8.4934,19.3891
2022-07-22,18.242,9.6842,8.5579,19.4416
2022-07-25,18.2721,9.6656,8.6065,19.507
2022-07-26,18.3689,9.7208,8.6481,19.5071
2022-07-27,18.3815,9.7043,8.6772,19.5727
2022-07-28,18.4627,9.7479,8.7147,19.5813
2022-07-29,18.5619,9.8171,8.7447,19.6135
2022-08-01,18.63,9.8528,8.7772,19.6898
2022-08-02,18.6431,9.8444,8.7987,19.641
2022-08-03,18.7174,9.881,8.8364,19.582
2022-08-04,18.839,9.929,8.9101,19.6316
2022-08-05,18.8364,9.9076,8.9288,19.6314
2022-08-08,18.9463,9.9632,8.9831,19.6687
2022-08-09,18.9678,9.9384,9.0294,19.6501
2022-08-10,19.0931,9.986,9.1071,19.7238
2022-08-11,19.211,10.0371,9.1739,19.7486
2022-08-12,19.3267,10.091,9.2357,19.7598
2022-08-16,19.3066,10.0798,9.2268,19.7187
2022-08-17,19.3764,10.1082,9.2681,19.7352
2022-08-18,19.4152,10.1195,9.2957,19.7354
2022-08-19,19.4588,10.1288,9.3301,19.8716
2022-08-22,19.545,10.1853,9.3597,19.8795
2022-08-23,19.5313,10.1688,9.3625,19.9074
