date,투자자예탁금,장내파생예수금,대고객RP매도잔고,위탁매매미수금,반대매매금액,반대매매비중
2021-07-05,67.8765,11.3073,94.2279,0.2825,0.0146,5.5
2021-07-06,66.7359,11.6102,95.456,0.2753,0.0161,5.7
2021-07-07,67.9002,11.692,95.4381,0.2857,0.0172,6.3
2021-07-08,69.442,11.6463,95.0195,0.3084,0.0186,6.5
2021-07-09,66.5405,11.5636,90.3967,0.3287,0.0182,5.9
2021-07-12,65.0938,11.5118,89.4102,0.3468,0.0236,7.2
2021-07-13,68.4155,11.4153,94.0049,0.3792,0.0224,6.5
2021-07-14,66.4974,11.3529,93.1457,0.329,0.0204,5.4
2021-07-15,69.3184,11.3841,93.2081,0.3744,0.0154,4.7
2021-07-16,68.9025,11.3838,95.1095,0.3924,0.0199,5.3
2021-07-19,68.142,11.4038,94.1389,0.415,0.0169,4.3
2021-07-20,67.7966,11.4673,94.376,0.3011,0.0254,6.1
2021-07-21,67.943,11.6268,94.733,0.3355,0.0181,6.0
2021-07-22,68.0734,11.6409,94.9825,0.3378,0.02,6.0
2021-07-23,67.7974,11.4891,94.5994,0.3572,0.0198,5.9
2021-07-26,71.6646,11.4919,93.1463,0.2989,0.0182,5.1
2021-07-27,63.0709,11.3404,87.8656,0.2735,0.0173,5.8
2021-07-28,66.0127,11.2385,84.9746,0.3245,0.0202,7.4
2021-07-29,75.1675,11.0729,89.8923,0.3073,0.0211,6.5
2021-07-30,67.2561,10.9972,88.0045,0.3149,0.0193,6.3
2021-08-02,69.6504,10.9832,88.6233,0.2954,0.0154,4.9
2021-08-03,69.8797,11.0144,90.8784,0.2962,0.0195,6.6
2021-08-04,70.0499,11.06,92.0419,0.2936,0.0151,5.1
2021-08-05,69.9771,11.1561,92.8514,0.2939,0.0197,6.7
2021-08-06,68.8074,11.0614,93.0075,0.2706,0.0187,6.4
2021-08-09,71.5824,11.0126,92.9499,0.2434,0.0149,5.5
2021-08-10,66.7997,11.0474,89.6295,0.2506,0.018,7.4
2021-08-11,66.6872,11.1021,88.0646,0.3463,0.0225,9.0
2021-08-12,74.2016,10.9727,92.1294,0.435,0.0238,6.9
2021-08-13,71.9869,10.9527,91.7674,0.3903,0.0337,7.7
2021-08-17,70.1231,10.9533,90.9452,0.3987,0.0319,8.2
2021-08-18,70.8378,10.8973,92.4877,0.3914,0.037,9.3
2021-08-19,69.8762,11.1412,93.1308,0.4442,0.0422,10.8
2021-08-20,69.65,10.97,93.4225,0.3592,0.0289,6.5
2021-08-23,69.3895,11.1146,93.4551,0.4265,0.0377,10.5
2021-08-24,68.8438,11.0692,92.4616,0.4609,0.0228,5.3
2021-08-25,63.5856,10.7984,87.3716,0.3772,0.0173,3.7
2021-08-26,64.195,10.7981,86.1568,0.2823,0.0162,4.3
2021-08-27,71.2843,10.7573,91.4821,0.2543,0.0159,5.6
2021-08-30,70.7269,10.8302,92.7077,0.2817,0.016,6.3
2021-08-31,69.5953,10.6374,92.1116,0.2667,0.0153,5.4
2021-09-01,67.4163,10.6387,89.2751,0.2785,0.0126,4.7
2021-09-02,69.6379,10.7864,88.8503,0.263,0.0113,4.0
2021-09-03,69.7502,10.7266,92.0614,0.2553,0.0135,5.1
2021-09-06,69.5906,10.7431,93.1072,0.2785,0.0169,6.6
2021-09-07,69.3871,10.783,92.8096,0.2456,0.0176,6.3
2021-09-08,61.0932,10.8389,86.5964,0.2625,0.0143,5.8
2021-09-09,61.0028,10.8316,84.3081,0.2752,0.0144,5.5
2021-09-10,73.3419,10.6416,90.7534,0.3071,0.0226,8.2
2021-09-13,70.4114,10.9425,93.4143,0.3221,0.0164,5.4
2021-09-14,68.5559,10.9645,92.1942,0.2612,0.0178,5.5
2021-09-15,65.6237,10.9755,90.4917,0.2816,0.0161,6.1
2021-09-16,68.9174,10.851,90.8827,0.2588,0.0143,5.1
2021-09-17,69.3626,10.81,93.5288,0.229,0.0142,5.5
2021-09-23,69.4882,10.7,93.8293,0.2356,0.0142,6.2
2021-09-24,67.8228,10.3632,92.99,0.2108,0.0162,6.9
2021-09-27,68.6219,10.1061,92.5764,0.2687,0.0154,7.3
2021-09-28,68.4443,10.085,90.3592,0.3299,0.0209,7.8
2021-09-29,66.9528,10.006,87.4346,0.3452,0.0256,7.8
2021-09-30,68.3463,10.215,87.5047,0.3907,0.0316,9.2
2021-10-01,69.7746,10.3646,91.8257,0.3906,0.0248,6.3
2021-10-05,70.8794,11.2015,92.7463,0.3476,0.0233,6.0
2021-10-06,70.0842,11.615,92.3171,0.3628,0.0394,11.3
2021-10-07,67.6605,11.922,93.2796,0.425,0.0344,9.5
2021-10-08,66.2217,11.7858,93.7662,0.4986,0.0263,6.2
2021-10-12,67.0659,11.9247,93.3923,0.3898,0.024,4.8
2021-10-13,65.1386,11.8593,91.0626,0.3208,0.0221,5.7
2021-10-14,65.5498,11.7753,90.6413,0.3126,0.0184,5.7
2021-10-15,67.8426,11.2197,93.428,0.2533,0.0166,5.3
2021-10-18,66.9819,11.1042,93.6986,0.2156,0.0111,4.4
2021-10-19,67.8587,11.1174,93.6273,0.2184,0.0136,6.3
2021-10-20,65.6169,11.0917,92.5721,0.2436,0.0132,6.1
2021-10-21,66.553,11.1708,92.7431,0.2365,0.0156,6.4
2021-10-22,64.339,11.0346,91.5486,0.2522,0.0173,7.3
2021-10-25,63.4563,11.1376,89.8374,0.2448,0.016,6.3
2021-10-26,64.9928,11.2143,91.4947,0.1995,0.0144,5.9
2021-10-27,67.6554,11.2386,92.3498,0.2061,0.0098,4.9
2021-10-28,67.9471,11.2489,92.6987,0.2035,0.0106,5.1
2021-10-29,66.7305,11.1549,92.3909,0.2311,0.0131,6.4
2021-11-01,66.8482,11.152,92.274,0.2573,0.0152,6.6
2021-11-02,63.4361,11.1232,89.4201,0.284,0.0175,6.8
2021-11-03,63.9407,11.0657,87.9577,0.2715,0.0129,4.5
2021-11-04,67.1204,10.8049,89.8347,0.2586,0.0161,5.9
2021-11-05,65.01,10.8265,90.4206,0.2863,0.0166,6.4
2021-11-08,65.8337,11.0255,90.359,0.308,0.0191,6.7
2021-11-09,65.4578,11.1465,90.7866,0.2914,0.0187,6.1
2021-11-10,64.6563,11.2531,90.4373,0.2849,0.0156,5.4
2021-11-11,67.0751,11.2554,91.8971,0.2913,0.0204,7.2
2021-11-12,63.5313,11.1843,90.016,0.2987,0.0223,7.7
2021-11-15,64.1912,11.185,89.4295,0.646,0.013,4.3
2021-11-16,66.382,11.0919,91.8913,0.6445,0.0169,2.6
2021-11-17,66.8143,11.2206,92.6308,0.2735,0.0128,2.0
2021-11-18,66.3547,11.2464,92.3409,0.2747,0.0159,5.8
2021-11-19,66.0808,11.2482,92.5012,0.316,0.0169,6.2
2021-11-22,65.0964,11.4033,92.153,0.2971,0.0142,4.5
2021-11-23,65.2454,11.4126,91.959,0.2684,0.0187,6.3
2021-11-24,64.67,11.0802,90.4035,0.3212,0.0195,7.3
2021-11-25,64.1765,11.0874,89.7458,0.3162,0.0195,6.1
2021-11-26,64.9045,11.1242,90.8051,0.2742,0.0174,5.5
2021-11-29,67.0108,11.1756,90.6739,0.2747,0.0162,5.9
2021-11-30,65.9824,11.4048,90.6968,0.3233,0.0196,7.1
2021-12-01,67.3933,11.5453,91.397,0.3057,0.0266,8.2
2021-12-02,67.2797,11.6703,92.0337,0.3394,0.0219,7.2
2021-12-03,64.2444,11.4926,91.3223,0.2662,0.0189,5.6
2021-12-06,64.2789,11.599,92.4167,0.2438,0.0147,5.5
2021-12-07,64.4556,11.8586,91.6878,0.1946,0.0178,7.3
2021-12-08,63.0393,11.9362,91.6691,0.2106,0.012,6.2
2021-12-09,63.5484,11.8102,92.2654,0.2153,0.0109,5.2
2021-12-10,63.5284,11.7354,91.452,0.2182,0.0111,5.1
2021-12-13,64.4773,11.2553,91.7368,0.1899,0.0105,4.8
2021-12-14,64.0625,11.2552,91.9291,0.2028,0.0148,7.8
2021-12-15,63.5622,10.9973,91.5585,0.2289,0.0181,8.9
2021-12-16,63.5959,10.8317,91.6939,0.2326,0.0143,6.2
2021-12-17,62.8408,10.8187,92.6543,0.2316,0.0134,5.7
2021-12-20,63.519,10.835,92.3914,0.236,0.0132,5.7
2021-12-21,63.4766,10.694,92.0933,0.2284,0.0182,7.7
2021-12-22,62.2037,10.9263,91.9211,0.2677,0.0147,6.4
2021-12-23,63.3463,11.0181,92.2769,0.2484,0.0182,6.8
2021-12-24,62.7758,10.7413,92.4599,0.2356,0.0153,6.2
2021-12-27,64.4713,10.8444,91.8371,0.2293,0.0122,5.2
2021-12-28,66.201,10.9022,91.4322,0.2176,0.0159,6.9
2021-12-29,68.0015,10.8746,90.5815,0.2392,0.0138,6.3
2021-12-30,69.6535,10.8082,88.4378,0.3241,0.0062,2.6
2021-12-31,67.5307,10.7855,83.3962,0.321,0.0079,2.4
2022-01-03,71.7328,10.757,87.5156,0.2717,0.0169,5.3
2022-01-04,66.5702,11.0253,89.8707,0.2243,0.0211,7.8
2022-01-05,68.9861,11.1343,90.0182,0.2589,0.0174,7.8
2022-01-06,67.3564,11.6327,90.3622,0.2731,0.0196,7.6
2022-01-07,65.2047,11.5326,90.606,0.3914,0.0232,8.5
2022-01-10,64.4325,11.4486,90.6008,0.4352,0.0241,6.2
2022-01-11,64.6643,11.3647,90.393,0.3132,0.0314,7.2
2022-01-12,64.6033,11.7668,89.9634,0.2977,0.0186,5.9
2022-01-13,64.0954,11.6913,89.9211,0.2832,0.0147,4.9
2022-01-14,65.3401,11.3181,90.6401,0.2314,0.0133,4.7
