symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,444,214,231,28.29,-20.34,-48.64,-0.799,23.16,44.37,0.896,397
AXSUSDT,490,243,247,18.46,-34.73,-53.19,-1.089,38.44,46.33,0.869,397
COMPUSDT,625,302,323,17.56,-22.48,-40.04,-0.762,35.23,45.92,0.916,397
LINKUSDT,193,83,110,38.22,-0.37,-38.58,0.066,14.5,49.22,1.013,383
UNIUSDT,333,160,173,25.36,-21.54,-46.91,-0.797,29.07,48.95,0.882,397
ETCUSDT,475,223,252,26.26,-23.67,-49.93,-1.06,29.33,43.37,0.863,397
LDOUSDT,265,127,138,11.6,-47.05,-58.64,-2.459,47.05,40.75,0.648,397
AVAXUSDT,345,161,184,39.51,-13.74,-53.25,-0.552,24.68,42.9,0.921,377
SOLUSDT,291,147,144,44.89,11.46,-33.43,0.556,17.41,46.05,1.106,397
DOGEUSDT,318,140,178,48.05,-0.2,-48.25,0.094,20.2,45.91,1.015,383
