symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,36,17,19,103.1,48.7,-54.39,1.042,22.18,55.56,1.566,369
AXSUSDT,30,14,16,439.44,391.22,-48.22,1.73,31.56,60.0,3.509,369
COMPUSDT,31,20,11,74.48,27.83,-46.65,0.725,25.79,45.16,1.389,369
LINKUSDT,34,19,15,161.13,129.62,-31.51,1.894,23.36,61.76,2.251,355
UNIUSDT,36,19,17,65.18,19.81,-45.36,0.577,28.75,47.22,1.261,370
ETCUSDT,30,14,16,236.61,185.54,-51.08,3.079,21.75,70.0,4.147,369
LDOUSDT,30,14,16,49.21,-8.71,-57.92,0.146,49.83,43.33,1.07,369
AVAXUSDT,32,14,18,89.54,33.56,-55.99,0.846,34.45,56.25,1.406,349
SOLUSDT,34,12,22,-9.4,-53.21,-43.81,-1.366,59.74,32.35,0.569,368
DOGEUSDT,36,14,22,49.34,4.98,-44.37,0.365,32.34,44.44,1.153,355
