symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,35,18,17,-7.19,-61.58,-54.39,-1.532,64.27,37.14,0.486,369
AXSUSDT,33,15,18,-44.96,-93.18,-48.22,-2.959,93.18,30.3,0.231,369
COMPUSDT,32,12,20,-3.74,-50.39,-46.65,-0.757,61.36,50.0,0.694,369
LINKUSDT,37,14,23,-23.64,-55.15,-31.51,-1.556,63.09,40.54,0.545,355
UNIUSDT,34,17,17,8.16,-37.2,-45.36,-0.469,54.31,52.94,0.821,370
ETCUSDT,32,18,14,-26.95,-78.02,-51.08,-3.093,78.02,21.88,0.248,369
LDOUSDT,36,20,16,-9.8,-67.72,-57.92,-0.99,77.86,36.11,0.663,369
AVAXUSDT,34,19,15,18.6,-37.39,-55.99,-0.553,44.21,41.18,0.805,349
SOLUSDT,30,17,13,64.89,21.08,-43.81,0.628,29.17,60.0,1.314,368
DOGEUSDT,37,19,18,-4.56,-48.93,-44.37,-0.903,64.93,40.54,0.682,355
