symbol,n_trades,n_hi_entries,n_lo_entries,alpha_pct,hi_alpha_sum,lo_alpha_sum,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
SOLUSDT,102,102,0,50.95,21.24,0.0,14.48,-36.47,0.513,18.67,50.98,1.224,380
COMPUSDT,96,96,0,56.02,40.03,0.0,-4.88,-60.89,0.406,53.89,48.96,1.332,380
AVAXUSDT,101,101,0,42.39,77.77,0.0,-10.82,-53.21,0.483,61.3,40.59,1.548,380
LINKUSDT,102,102,0,36.79,51.11,0.0,-1.14,-37.92,0.441,52.01,46.08,1.397,380
UNIUSDT,101,101,0,49.65,87.21,0.0,0.67,-48.98,0.558,61.09,48.51,1.645,380
HBARUSDT,102,102,0,53.8,43.27,0.0,1.06,-52.74,0.427,55.78,44.12,1.341,380
AXSUSDT,103,103,0,58.6,34.52,0.0,-8.25,-66.86,0.35,54.4,47.57,1.264,380
DOGEUSDT,102,102,0,56.28,75.35,0.0,10.03,-46.25,0.556,57.08,45.1,1.584,380
LDOUSDT,105,105,0,91.28,157.85,0.0,24.48,-66.8,0.749,69.22,52.38,2.046,380
ETCUSDT,96,96,0,52.68,25.17,0.0,-2.76,-55.43,0.324,43.76,46.88,1.227,380
