symbol,n_trades,n_hi_entries,n_lo_entries,alpha_pct,hi_alpha_sum,lo_alpha_sum,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
SOLUSDT,244,244,0,43.69,19.52,0.0,7.45,-36.24,0.378,42.61,47.13,1.079,380
COMPUSDT,240,240,0,82.59,74.78,0.0,21.67,-60.92,0.662,61.05,48.75,1.3,380
AVAXUSDT,247,247,0,78.71,123.83,0.0,25.73,-52.99,0.716,66.87,49.8,1.44,380
LINKUSDT,255,255,0,-0.74,9.59,0.0,-38.58,-37.84,0.079,66.1,42.35,1.03,380
UNIUSDT,248,248,0,93.14,129.08,0.0,44.25,-48.89,0.811,66.99,49.6,1.441,380
HBARUSDT,259,259,0,24.87,17.49,0.0,-27.75,-52.62,0.159,64.63,43.24,1.054,380
AXSUSDT,254,254,0,109.81,91.13,0.0,42.95,-66.86,0.803,59.7,48.43,1.308,380
DOGEUSDT,248,248,0,64.31,87.89,0.0,18.25,-46.06,0.636,66.37,46.77,1.308,380
LDOUSDT,269,269,0,26.6,86.6,0.0,-40.2,-66.79,0.42,82.96,43.12,1.229,380
ETCUSDT,243,243,0,37.4,15.37,0.0,-17.97,-55.37,0.174,52.53,47.33,1.058,380
