symbol,n_trades,n_hi_entries,n_lo_entries,alpha_pct,hi_alpha_sum,lo_alpha_sum,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
SOLUSDT,575,575,0,9.61,-19.37,0.0,-26.86,-36.47,-0.381,44.36,48.87,0.945,380
COMPUSDT,568,568,0,21.83,-0.38,0.0,-39.06,-60.89,-0.004,65.62,48.59,0.999,380
AVAXUSDT,571,571,0,12.2,41.5,0.0,-41.02,-53.21,0.254,69.25,49.39,1.102,380
LINKUSDT,568,568,0,9.08,22.05,0.0,-28.85,-37.92,0.185,72.98,48.59,1.058,380
UNIUSDT,572,572,0,8.45,40.47,0.0,-40.53,-48.98,0.253,78.41,45.1,1.094,380
HBARUSDT,571,571,0,45.83,40.05,0.0,-6.92,-52.74,0.377,64.56,49.39,1.106,380
AXSUSDT,579,579,0,34.96,10.51,0.0,-31.9,-66.86,0.101,63.36,49.22,1.025,380
DOGEUSDT,567,567,0,38.23,61.77,0.0,-8.02,-46.25,0.446,71.93,52.56,1.168,380
LDOUSDT,596,596,0,32.03,100.3,0.0,-34.77,-66.8,0.469,80.04,50.0,1.204,380
ETCUSDT,569,569,0,12.35,-24.29,0.0,-43.08,-55.43,-0.294,61.92,47.1,0.933,380
