symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1145,1146,0,-17.77,-71.76,-53.99,-1.664,81.68,46.03,0.879,381
AXSUSDT,1173,1174,0,36.76,-31.03,-67.79,0.011,70.53,46.89,1.001,381
COMPUSDT,1138,1139,0,-20.53,-82.46,-61.93,-2.247,88.93,44.11,0.832,381
DOGEUSDT,1133,1134,0,8.92,-39.21,-48.13,-0.422,58.83,46.6,0.967,381
LDOUSDT,1176,1177,0,45.55,-22.23,-67.78,0.057,56.52,46.68,1.004,381
SOLUSDT,1128,1129,0,-6.77,-45.34,-38.57,-0.684,58.67,46.45,0.947,381
AVAXUSDT,1135,1136,0,20.3,-33.31,-53.62,-0.311,54.69,47.31,0.976,381
LINKUSDT,1133,1134,0,-27.64,-66.64,-39.0,-1.412,74.6,46.25,0.894,381
UNIUSDT,1151,1152,0,-23.04,-73.09,-50.06,-1.41,83.34,45.7,0.894,381
ETCUSDT,1117,1118,0,-18.99,-75.31,-56.32,-2.301,76.52,46.73,0.831,381
