symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1154,0,1154,-16.93,-70.92,-53.99,-0.456,86.64,44.63,0.946,381
AXSUSDT,1218,0,1218,7.78,-60.0,-67.79,-0.034,81.52,45.89,0.996,381
COMPUSDT,1158,0,1158,9.78,-52.15,-61.93,0.031,79.95,46.89,1.004,381
DOGEUSDT,1160,0,1160,-37.66,-85.79,-48.13,-0.717,88.54,45.43,0.9,381
LDOUSDT,1235,0,1235,-26.63,-94.42,-67.78,-0.576,96.7,43.72,0.907,381
SOLUSDT,1116,0,1117,-26.58,-65.15,-38.57,-1.052,66.14,47.31,0.913,381
AVAXUSDT,1163,0,1163,-30.46,-84.08,-53.62,-0.37,89.96,45.92,0.937,381
LINKUSDT,1137,0,1137,-34.5,-73.5,-39.0,-0.428,86.01,46.7,0.942,381
UNIUSDT,1230,0,1231,-44.73,-94.79,-50.06,-1.009,94.99,44.31,0.864,381
ETCUSDT,1109,0,1109,-30.73,-87.05,-56.32,-1.568,88.3,44.72,0.828,381
