symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1582,956,626,-16.08,-67.93,-51.85,-0.308,82.54,46.97,0.97,377
AXSUSDT,1651,960,691,25.33,-41.11,-66.44,0.302,81.19,45.73,1.027,377
COMPUSDT,1573,970,603,-25.35,-85.65,-60.3,-0.556,89.85,45.07,0.94,377
DOGEUSDT,1591,962,629,-29.58,-74.9,-45.33,-0.275,84.41,46.64,0.968,377
LDOUSDT,1640,992,648,30.53,-37.41,-67.94,0.566,85.92,46.22,1.081,377
SOLUSDT,1531,940,591,-7.21,-44.56,-37.35,-0.319,52.85,47.35,0.977,377
AVAXUSDT,1562,954,608,-4.42,-56.95,-52.53,0.212,85.43,47.38,1.03,377
LINKUSDT,1576,969,607,-46.2,-84.18,-37.98,-0.739,94.7,46.45,0.921,377
UNIUSDT,1637,986,651,-14.46,-67.49,-53.03,0.111,94.89,46.73,1.014,377
ETCUSDT,1533,950,583,-27.15,-82.4,-55.24,-1.156,85.68,46.05,0.893,377
