symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,4334,2217,2118,-40.12,-94.11,-53.99,-1.613,94.59,46.7,0.902,381
AXSUSDT,4438,2215,2224,-29.54,-97.33,-67.79,-1.852,98.2,47.14,0.899,381
COMPUSDT,4351,2232,2120,-36.78,-98.71,-61.93,-2.597,99.13,46.01,0.843,381
DOGEUSDT,4355,2201,2155,-49.78,-97.91,-48.13,-1.834,98.14,44.78,0.866,381
LDOUSDT,4417,2226,2192,-24.96,-92.75,-67.78,-0.344,93.59,47.27,0.969,381
SOLUSDT,4315,2245,2071,-59.82,-98.39,-38.57,-4.534,98.66,46.12,0.808,381
AVAXUSDT,4355,2260,2096,-43.75,-97.36,-53.62,-1.353,97.69,46.84,0.887,381
LINKUSDT,4344,2272,2073,-57.76,-96.76,-39.0,-1.895,97.01,45.9,0.873,381
UNIUSDT,4401,2214,2188,-49.1,-99.16,-50.06,-1.925,99.23,45.85,0.859,381
ETCUSDT,4305,2220,2086,-41.88,-98.2,-56.32,-3.393,98.26,45.41,0.81,381
