symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,3583,0,3584,-39.72,-93.71,-53.99,-1.637,94.7,47.22,0.888,381
AXSUSDT,3664,0,3664,-30.83,-98.62,-67.79,-2.474,98.79,47.0,0.853,381
COMPUSDT,3580,0,3581,-36.81,-98.74,-61.93,-2.41,98.89,46.59,0.828,381
DOGEUSDT,3579,0,3580,-46.9,-95.03,-48.13,-1.347,95.71,46.44,0.884,381
LDOUSDT,3673,0,3674,-30.57,-98.35,-67.78,-1.017,98.63,46.8,0.899,381
SOLUSDT,3564,0,3564,-60.02,-98.59,-38.57,-4.88,98.77,46.38,0.773,381
AVAXUSDT,3592,0,3593,-41.64,-95.25,-53.62,-1.059,95.97,47.61,0.899,381
LINKUSDT,3588,0,3589,-57.78,-96.78,-39.0,-1.958,97.24,46.99,0.852,381
UNIUSDT,3663,0,3664,-49.69,-99.74,-50.06,-2.636,99.81,45.62,0.792,381
ETCUSDT,3549,0,3550,-38.23,-94.55,-56.32,-2.415,95.14,47.0,0.844,381
