symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,3595,3596,0,-42.12,-96.1,-53.99,-4.359,96.87,45.51,0.817,381
AXSUSDT,3632,3633,0,-26.52,-94.31,-67.79,-2.501,95.77,45.29,0.878,381
COMPUSDT,3591,3592,0,-34.04,-95.97,-61.93,-3.537,97.2,45.31,0.828,381
DOGEUSDT,3591,3592,0,-48.3,-96.43,-48.13,-4.485,96.94,44.0,0.809,381
LDOUSDT,3624,3625,0,-22.85,-90.63,-67.78,-2.172,91.87,46.03,0.897,381
SOLUSDT,3577,3578,0,-56.2,-94.77,-38.57,-4.212,95.79,45.15,0.818,381
AVAXUSDT,3588,3589,0,-43.54,-97.16,-53.62,-4.742,97.16,44.57,0.8,381
LINKUSDT,3588,3589,0,-56.53,-95.53,-39.0,-3.934,95.63,44.34,0.823,381
UNIUSDT,3608,3609,0,-18.83,-68.89,-50.06,-0.841,76.92,45.9,0.956,381
ETCUSDT,3574,3575,0,-33.33,-89.65,-56.32,-2.89,89.99,44.43,0.852,381
