symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,46,39.74,-10.01,-49.74,-0.424,21.35,45.65,0.884,177
AXSUSDT,51,39.39,9.39,-29.99,0.796,32.0,52.94,1.197,105
COMPUSDT,31,60.26,28.42,-31.84,1.167,14.26,48.39,1.634,171
DOGEUSDT,52,19.59,-16.21,-35.81,-1.051,29.06,48.08,0.76,176
LDOUSDT,45,61.78,8.24,-53.55,0.571,15.85,53.33,1.203,176
SOLUSDT,44,38.86,-7.1,-45.96,-0.308,25.61,47.73,0.917,177
AVAXUSDT,48,66.21,24.16,-42.04,1.724,9.46,52.08,1.653,177
LINKUSDT,51,11.19,-31.76,-42.95,-2.66,38.71,47.06,0.492,173
UNIUSDT,38,14.4,-29.42,-43.82,-2.054,33.5,42.11,0.535,176
ETCUSDT,40,42.58,-6.03,-48.6,-0.228,22.1,50.0,0.933,176
