symbol,n_trades,n_flips_test,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,59,109,55.66,4.37,-51.29,0.416,38.35,47.46,1.098,181
AXSUSDT,11,17,23.75,-11.48,-35.23,-1.818,13.91,27.27,0.417,106
COMPUSDT,37,67,78.0,45.89,-32.12,1.562,22.72,48.65,1.75,181
DOGEUSDT,45,79,6.14,-35.95,-42.08,-1.679,42.96,44.44,0.638,181
LDOUSDT,40,73,30.72,-23.15,-53.87,-0.777,34.62,42.5,0.805,181
SOLUSDT,49,90,18.69,-36.1,-54.79,-1.677,46.1,42.86,0.665,181
AVAXUSDT,63,127,22.38,-28.57,-50.95,-0.856,49.48,49.21,0.826,181
LINKUSDT,47,92,91.61,45.14,-46.47,1.885,15.76,57.45,1.652,181
UNIUSDT,45,93,-17.15,-53.97,-36.82,-3.012,57.85,31.11,0.466,181
ETCUSDT,52,106,16.41,-27.26,-43.66,-1.265,28.86,40.38,0.732,181
