symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days,phase_pos_pct,phase_mean,phase_std
HBARUSDT,6,4,2,59.59,20.69,-38.9,1.496,12.25,50.0,2.647,151,50.3,0.0279,0.3136
AXSUSDT,0,0,0,-25.75,0.0,25.75,0.0,0.0,0.0,0.0,151,7.9,-0.2546,0.1916
COMPUSDT,2,1,1,40.7,6.28,-34.42,0.831,2.85,50.0,3.294,151,43.8,-0.1163,0.3524
LINKUSDT,13,5,9,85.85,50.6,-35.25,2.27,13.45,61.54,2.615,137,72.8,0.0902,0.1503
UNIUSDT,7,4,3,85.88,40.82,-45.06,2.381,9.45,71.43,3.812,151,69.1,0.065,0.3078
ETCUSDT,2,1,1,40.43,3.12,-37.3,0.372,5.87,50.0,1.628,151,43.8,-0.0616,0.2733
LDOUSDT,10,8,2,4.34,-35.22,-39.56,-1.507,40.24,40.0,0.478,151,71.1,0.1447,0.2807
AVAXUSDT,12,5,7,55.79,16.23,-39.55,1.068,17.4,58.33,1.528,137,87.3,0.2634,0.1999
SOLUSDT,10,3,7,104.84,71.16,-33.68,3.134,10.29,60.0,6.082,151,72.7,0.1408,0.2812
DOGEUSDT,7,3,4,44.28,3.78,-40.51,0.426,10.43,42.86,1.271,137,68.5,0.1504,0.3197
