symbol,n_trades,n_long_entries,n_short_entries,raw_firings_pos,raw_firings_neg,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,0,0,0,0,0,39.81,0.0,-39.81,0.0,0.0,0.0,0.0,166
AXSUSDT,1,1,0,1,0,-9.85,3.52,13.37,0.0,0.0,100.0,inf,166
COMPUSDT,1,0,1,0,1,36.73,11.26,-25.48,0.0,0.0,100.0,inf,166
LINKUSDT,2,1,1,1,1,37.45,-13.56,-51.01,-15.99,13.56,0.0,0.0,152
UNIUSDT,1,0,1,0,2,65.23,9.9,-55.33,0.0,0.0,100.0,inf,166
ETCUSDT,1,0,1,0,1,33.59,-9.5,-43.09,0.0,9.5,0.0,0.0,166
LDOUSDT,0,0,0,0,0,49.07,0.0,-49.07,0.0,0.0,0.0,0.0,166
AVAXUSDT,0,0,0,0,0,53.46,0.0,-53.46,0.0,0.0,0.0,0.0,152
SOLUSDT,2,0,2,0,2,51.59,11.16,-40.43,2.441,0.0,100.0,inf,166
DOGEUSDT,1,1,0,1,0,44.12,-7.34,-51.46,0.0,7.34,0.0,0.0,152
