symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,23,14,10,72.97,35.3,-37.68,1.586,21.93,56.52,1.798,152
AXSUSDT,25,12,13,-121.91,-93.09,28.82,-5.589,93.44,24.0,0.109,152
COMPUSDT,18,7,11,-24.97,-56.32,-31.35,-3.312,60.03,44.44,0.288,152
LINKUSDT,24,13,12,-5.64,-42.8,-37.16,-2.33,48.35,33.33,0.521,138
UNIUSDT,24,10,14,17.27,-29.77,-47.04,-1.205,51.89,41.67,0.691,152
ETCUSDT,23,17,7,43.89,5.16,-38.73,0.484,22.95,56.52,1.17,152
LDOUSDT,26,17,10,32.36,-9.85,-42.21,0.078,43.87,46.15,1.028,152
AVAXUSDT,20,11,10,31.82,-10.21,-42.04,-0.117,43.88,45.0,0.962,138
SOLUSDT,20,15,6,46.64,7.74,-38.9,0.587,14.64,55.0,1.28,152
DOGEUSDT,21,14,8,15.02,-27.89,-42.91,-1.098,38.87,42.86,0.694,138
