symbol,n_trades,n_boundaries_test,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,134,1154,22.2,-24.92,-47.12,-2.012,29.07,41.04,0.616,384
AXSUSDT,127,1154,17.05,-23.27,-40.31,-1.265,30.52,51.97,0.711,384
COMPUSDT,125,1154,60.56,16.98,-43.58,0.974,10.89,55.2,1.309,384
DOGEUSDT,129,1106,22.5,-23.84,-46.34,-1.726,28.65,44.96,0.662,368
LDOUSDT,142,1155,29.83,-19.73,-49.55,-0.995,27.64,50.0,0.792,384
SOLUSDT,132,1148,36.13,0.51,-35.61,0.101,15.26,53.79,1.024,382
AVAXUSDT,119,1076,51.44,-4.57,-56.01,-0.234,17.11,53.78,0.942,366
LINKUSDT,120,1106,19.33,-17.17,-36.51,-1.261,23.34,45.0,0.727,368
UNIUSDT,130,1155,29.27,-10.3,-39.57,-0.619,22.58,49.23,0.864,384
ETCUSDT,126,1155,42.87,-1.06,-43.93,-0.018,10.52,53.97,0.995,384
