symbol,n_trades,n_boundaries_test,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,36,1154,41.37,-5.75,-47.12,-0.784,9.08,47.22,0.712,384
AXSUSDT,39,1154,32.69,-7.62,-40.31,-0.541,12.11,46.15,0.783,384
COMPUSDT,40,1154,78.82,35.24,-43.58,2.301,5.98,65.0,3.068,384
DOGEUSDT,46,1106,32.25,-14.09,-46.34,-1.474,18.43,36.96,0.555,368
LDOUSDT,45,1155,41.76,-7.79,-49.55,-0.563,13.72,51.11,0.802,384
SOLUSDT,34,1148,39.53,3.92,-35.61,0.495,6.66,55.88,1.25,382
AVAXUSDT,38,1076,66.22,10.22,-56.01,1.139,6.17,55.26,1.611,366
LINKUSDT,42,1106,39.31,2.81,-36.51,0.32,8.99,57.14,1.136,368
UNIUSDT,39,1155,42.88,3.32,-39.57,0.376,10.8,48.72,1.177,384
ETCUSDT,33,1155,39.13,-4.8,-43.93,-0.54,14.38,51.52,0.767,384
