symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,25,7,18,46.96,-3.24,-50.2,0.238,40.23,52.0,1.168,384
AXSUSDT,29,16,13,86.41,43.84,-42.57,0.731,53.0,44.83,1.576,384
COMPUSDT,25,12,13,74.94,31.64,-43.3,0.735,44.31,60.0,1.444,384
LINKUSDT,33,14,19,53.44,17.68,-35.77,0.547,31.08,39.39,1.263,369
UNIUSDT,33,16,17,90.12,51.36,-38.76,0.936,43.66,54.55,1.533,385
ETCUSDT,28,11,17,14.75,-31.09,-45.84,-0.695,36.5,35.71,0.71,384
LDOUSDT,31,16,15,84.89,34.04,-50.85,0.712,46.08,45.16,1.382,384
AVAXUSDT,31,18,14,46.12,-4.72,-50.84,0.148,48.54,45.16,1.064,363
SOLUSDT,27,15,12,190.26,153.1,-37.16,2.654,13.07,62.96,3.52,383
DOGEUSDT,26,10,16,26.25,-19.57,-45.82,-0.1,34.44,34.62,0.953,369
