symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days,entropy_q10,entropy_q50,entropy_q90
HBARUSDT,141,141,0,-3.45,-46.78,-43.34,-2.508,47.88,36.88,0.566,391,1.314,1.655,1.873
AXSUSDT,169,170,0,46.3,-2.81,-49.11,0.17,46.0,43.2,1.048,391,1.25,1.618,1.834
COMPUSDT,147,147,0,30.86,-17.0,-47.86,-0.348,53.23,43.54,0.92,391,1.162,1.61,1.836
DOGEUSDT,154,154,0,41.08,-6.19,-47.27,-0.089,36.35,44.16,0.981,375,1.173,1.564,1.803
LDOUSDT,158,158,0,117.98,63.17,-54.8,1.283,23.91,46.84,1.366,392,1.231,1.601,1.843
SOLUSDT,145,145,0,28.54,1.1,-27.44,0.161,23.46,45.52,1.035,389,1.238,1.568,1.824
AVAXUSDT,146,146,0,27.74,-33.46,-61.2,-1.238,37.22,36.99,0.766,373,1.223,1.592,1.839
LINKUSDT,146,146,0,44.66,4.46,-40.2,0.296,10.27,46.58,1.062,375,1.268,1.624,1.856
UNIUSDT,145,145,0,62.46,17.91,-44.55,0.565,20.36,43.45,1.162,392,1.179,1.585,1.834
ETCUSDT,129,129,0,23.82,-22.52,-46.34,-0.886,32.0,44.19,0.792,392,1.271,1.596,1.827
