symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,11,10,2,47.56,-0.92,-48.48,0.13,28.44,72.73,1.134,399
AXSUSDT,17,12,5,18.87,-33.76,-52.63,-0.362,49.37,52.94,0.762,399
COMPUSDT,18,13,5,150.61,110.21,-40.4,1.94,8.49,61.11,3.997,399
LINKUSDT,11,8,3,-13.86,-52.31,-38.45,-3.092,52.31,9.09,0.037,384
UNIUSDT,12,7,5,84.29,37.03,-47.26,1.421,9.24,66.67,2.914,400
ETCUSDT,11,10,1,60.66,12.07,-48.59,0.47,22.48,54.55,1.501,399
LDOUSDT,14,10,4,178.78,121.6,-57.18,2.292,19.45,85.71,5.285,399
AVAXUSDT,14,11,4,102.99,48.74,-54.25,1.316,11.0,57.14,2.477,378
SOLUSDT,12,7,5,95.07,62.6,-32.47,2.762,7.07,83.33,6.372,398
DOGEUSDT,15,10,5,309.02,260.35,-48.67,2.851,8.83,86.67,14.46,384
