symbol,n_trades,n_long,n_short,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,449,243,206,23.61,-23.69,-47.29,0.211,69.13,47.66,1.055,384
AXSUSDT,454,224,230,-22.1,-62.33,-40.23,-0.295,75.25,43.61,0.938,384
COMPUSDT,434,212,222,18.73,-24.56,-43.29,0.293,74.3,44.47,1.074,384
DOGEUSDT,457,223,234,8.39,-37.99,-46.37,0.193,76.67,45.73,1.057,368
LDOUSDT,478,250,228,-37.67,-87.58,-49.91,-0.315,88.13,39.33,0.897,384
SOLUSDT,443,218,225,38.44,3.67,-34.77,0.33,35.03,47.63,1.051,382
AVAXUSDT,445,240,205,9.41,-45.39,-54.81,0.255,79.9,47.19,1.091,366
LINKUSDT,486,247,239,-28.7,-64.7,-36.01,-0.353,80.8,43.83,0.914,368
UNIUSDT,447,217,230,-35.16,-75.03,-39.88,-0.256,79.44,43.62,0.92,384
ETCUSDT,428,226,202,30.79,-13.6,-44.38,0.245,53.17,49.3,1.06,384
