symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
SOLUSDT,203,2.02,-30.9,-32.93,-0.982,44.68,47.29,0.855,397
HBARUSDT,194,3.02,-45.49,-48.51,-1.539,53.47,39.18,0.769,399
AXSUSDT,208,41.31,-11.37,-52.68,-0.119,47.68,42.79,0.981,399
DOGEUSDT,219,24.95,-23.68,-48.62,-0.566,31.93,42.92,0.918,383
UNIUSDT,222,14.79,-31.37,-46.15,-0.685,37.02,38.29,0.892,399
PYTHUSDT,199,18.3,-47.37,-65.67,-1.459,56.32,33.17,0.788,399
TONUSDT,182,58.42,-7.81,-66.23,-0.118,29.13,50.0,0.98,395
ICPUSDT,202,54.08,-2.09,-56.17,0.101,38.79,48.51,1.017,399
ETCUSDT,214,26.02,-22.84,-48.86,-0.559,37.73,46.26,0.914,399
JUPUSDT,202,7.06,-54.01,-61.07,-1.926,54.74,35.64,0.736,399
COMPUSDT,197,65.13,24.7,-40.43,0.734,31.51,47.21,1.136,399
WLDUSDT,218,28.55,-40.45,-69.0,-1.048,52.95,35.32,0.85,399
LDOUSDT,204,20.44,-37.16,-57.6,-0.99,49.22,37.25,0.851,399
1000LUNCUSDT,201,-96.11,-42.77,53.34,-1.38,48.85,41.29,0.787,399
