symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,27,12,15,38.06,-12.14,-50.2,-0.365,28.53,44.44,0.841,384
AXSUSDT,33,18,16,-27.57,-70.14,-42.57,-1.677,71.37,30.3,0.417,384
COMPUSDT,26,14,12,15.14,-28.16,-43.3,-1.211,38.42,38.46,0.558,384
LINKUSDT,26,12,14,22.79,-12.97,-35.77,-0.333,27.32,42.31,0.85,369
UNIUSDT,30,16,15,66.32,27.56,-38.76,0.876,22.42,60.0,1.482,385
ETCUSDT,29,13,16,20.54,-25.3,-45.84,-1.031,41.41,41.38,0.607,384
LDOUSDT,27,11,16,19.66,-31.19,-50.85,-0.717,41.64,51.85,0.712,384
AVAXUSDT,30,15,15,50.2,-0.64,-50.84,0.162,25.29,53.33,1.074,363
SOLUSDT,26,11,15,88.21,51.05,-37.16,1.37,23.6,50.0,2.05,383
DOGEUSDT,25,11,14,74.35,28.53,-45.82,0.965,10.26,52.0,1.733,369
