symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,2520,-47.31,-95.63,-48.32,-1.804,97.96,45.52,0.865,399
AXSUSDT,2669,-44.85,-98.64,-53.79,-2.123,99.24,45.49,0.859,399
COMPUSDT,2526,-52.54,-95.36,-42.83,-1.298,95.74,48.3,0.894,399
DOGEUSDT,2445,-48.4,-97.49,-49.08,-1.731,98.01,45.97,0.848,383
LDOUSDT,2691,-38.64,-99.18,-60.54,-1.314,99.42,46.79,0.872,399
SOLUSDT,2472,-56.23,-89.81,-33.58,-2.189,93.7,47.37,0.876,397
AVAXUSDT,2391,-39.0,-91.94,-52.94,-0.721,93.52,47.26,0.923,377
LINKUSDT,2430,-52.04,-90.5,-38.46,-1.086,92.0,48.15,0.909,383
UNIUSDT,2619,-50.54,-97.98,-47.44,-1.406,98.16,47.42,0.876,399
ETCUSDT,2460,-45.91,-96.33,-50.41,-2.538,96.34,46.02,0.819,399
