symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,25,15,10,66.19,12.62,-53.57,0.482,31.52,60.0,1.311,369
AXSUSDT,21,1,20,-20.52,-64.2,-43.68,-1.141,72.68,52.38,0.502,369
COMPUSDT,19,2,17,4.78,-39.35,-44.13,-0.639,51.26,42.11,0.687,369
LINKUSDT,17,6,11,7.1,-24.7,-31.8,-0.938,25.19,35.29,0.569,354
UNIUSDT,20,8,13,3.0,-41.95,-44.95,-1.184,43.86,40.0,0.524,370
ETCUSDT,19,3,16,9.24,-39.9,-49.14,-1.083,47.62,36.84,0.531,369
LDOUSDT,22,5,17,198.39,142.92,-55.47,1.621,26.48,63.64,2.542,369
AVAXUSDT,21,8,13,137.11,82.04,-55.07,1.644,11.24,61.9,2.259,348
SOLUSDT,17,8,9,131.99,88.18,-43.81,2.07,12.77,76.47,4.34,368
DOGEUSDT,23,15,8,37.6,-5.36,-42.96,0.148,43.46,47.83,1.081,354
