symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,43,17,26,46.6,-5.82,-52.42,0.116,40.91,60.47,1.046,339
AXSUSDT,48,22,26,28.34,-18.37,-46.71,0.261,65.17,45.83,1.124,369
COMPUSDT,29,10,19,250.02,203.91,-46.12,2.939,13.52,65.52,3.634,339
LINKUSDT,46,27,20,110.63,78.83,-31.8,1.217,32.18,56.52,1.555,354
UNIUSDT,42,19,23,-22.9,-63.65,-40.74,-1.122,71.49,35.71,0.67,370
ETCUSDT,44,18,26,161.17,111.35,-49.82,1.528,28.33,59.09,1.796,369
LDOUSDT,47,27,20,76.69,21.2,-55.49,0.626,56.55,42.55,1.247,369
AVAXUSDT,45,24,22,35.88,-19.2,-55.07,-0.043,48.44,44.44,0.985,348
SOLUSDT,42,21,21,94.67,51.55,-43.13,1.073,33.9,52.38,1.51,368
DOGEUSDT,52,27,25,10.3,-32.66,-42.96,-0.316,67.33,40.38,0.901,354
