symbol,n_trades,n_aligned_pos,n_aligned_neg,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,15,9,6,49.67,0.96,-48.71,0.197,15.62,46.67,1.085,177
AXSUSDT,13,9,4,4.26,-20.9,-25.16,-1.369,35.32,53.85,0.601,106
COMPUSDT,14,10,4,34.61,3.82,-30.8,0.474,13.38,42.86,1.243,172
LINKUSDT,29,18,11,47.33,-0.08,-47.41,0.205,21.6,37.93,1.078,172
UNIUSDT,20,12,8,69.96,20.05,-49.92,0.895,37.4,65.0,1.511,176
ETCUSDT,13,5,8,47.67,0.65,-47.02,0.157,12.34,61.54,1.081,177
LDOUSDT,28,11,17,41.3,-13.72,-55.02,-0.493,22.38,50.0,0.857,176
AVAXUSDT,19,12,7,37.22,-7.62,-44.83,-0.572,16.4,36.84,0.764,177
SOLUSDT,21,14,7,75.95,27.81,-48.14,2.508,5.3,66.67,2.903,178
DOGEUSDT,15,12,3,94.38,45.8,-48.58,3.585,1.86,46.67,13.253,177
