pair,coint_p,beta,n_trades,total_return_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor
JUPUSDT/WLDUSDT,0.00426,0.213,22,-69.34,-0.976,72.06,36.36,0.506
SOLUSDT/COMPUSDT,0.01573,0.419,26,,0.0,,50.0,0.721
AXSUSDT/WLDUSDT,0.01715,0.473,24,30.21,0.513,39.78,58.33,1.418
JUPUSDT/1000LUNCUSDT,0.01941,0.481,22,-19.99,-0.033,61.9,45.45,0.978
AXSUSDT/JUPUSDT,0.02104,0.78,20,-19.6,0.012,43.53,55.0,1.01
PYTHUSDT/ICPUSDT,0.02279,1.363,19,-93.4,-0.222,97.49,63.16,0.798
PYTHUSDT/JUPUSDT,0.02286,1.13,24,61.02,0.684,33.09,62.5,1.598
ETCUSDT/LDOUSDT,0.02538,0.53,22,-4.33,0.055,34.07,59.09,1.043
ICPUSDT/JUPUSDT,0.02543,0.765,23,-7.13,0.178,41.24,47.83,1.149
SOLUSDT/UNIUSDT,0.03125,0.439,24,11.89,0.336,40.39,62.5,1.256
ICPUSDT/WLDUSDT,0.03418,0.412,23,-50.35,-0.523,59.95,47.83,0.678
AXSUSDT/ICPUSDT,0.04337,1.034,21,-23.78,-0.084,45.82,52.38,0.939
JUPUSDT/LDOUSDT,0.04828,0.266,26,23.57,0.431,48.81,53.85,1.316
