symbol,n_trades,n_trend_entries,n_rev_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days,pacf2_q10,pacf2_q50,pacf2_q90
HBARUSDT,144,0,144,31.5,-16.85,-48.35,0.236,59.52,47.22,1.147,398,-0.116,-0.01,0.083
AXSUSDT,172,0,172,54.04,1.47,-52.57,0.226,36.0,41.86,1.059,398,-0.118,-0.021,0.076
COMPUSDT,178,0,178,-15.64,-55.92,-40.27,-0.254,65.05,38.2,0.887,398,-0.118,-0.021,0.079
DOGEUSDT,112,0,112,43.16,-5.45,-48.61,0.447,65.61,44.64,1.382,383,-0.106,-0.012,0.091
LDOUSDT,149,0,149,26.72,-30.82,-57.53,0.46,80.44,42.28,1.405,399,-0.114,-0.011,0.091
SOLUSDT,100,0,100,41.65,8.85,-32.8,0.391,20.79,51.0,1.168,397,-0.107,-0.013,0.083
AVAXUSDT,86,0,86,18.99,-33.73,-52.72,0.316,70.69,37.21,1.335,380,-0.098,-0.004,0.092
LINKUSDT,116,0,116,40.94,2.37,-38.57,0.474,64.99,50.0,1.385,383,-0.11,-0.012,0.091
UNIUSDT,130,0,130,78.81,32.75,-46.06,0.725,61.8,52.31,1.737,399,-0.109,-0.01,0.09
ETCUSDT,141,0,141,94.03,45.14,-48.89,0.774,22.85,48.23,1.553,399,-0.114,-0.009,0.09
