symbol,n_trades,n_trend_entries,n_rev_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days,pacf2_q10,pacf2_q50,pacf2_q90
HBARUSDT,559,559,0,28.81,-19.54,-48.35,-0.076,52.99,47.76,0.989,398,-0.116,-0.01,0.083
AXSUSDT,534,534,0,55.68,3.11,-52.57,0.354,37.36,42.88,1.052,398,-0.118,-0.021,0.076
COMPUSDT,505,505,0,-14.13,-54.41,-40.27,-0.955,67.15,44.75,0.862,398,-0.118,-0.021,0.079
DOGEUSDT,569,570,0,3.48,-45.13,-48.61,-0.963,55.54,44.64,0.898,383,-0.106,-0.012,0.091
LDOUSDT,628,628,0,1.65,-55.88,-57.53,-1.003,63.67,41.08,0.893,399,-0.114,-0.011,0.091
SOLUSDT,551,551,0,55.15,22.35,-32.8,0.643,33.95,48.28,1.081,397,-0.107,-0.013,0.083
AVAXUSDT,596,597,0,-9.05,-61.78,-52.72,-1.524,70.39,43.79,0.837,380,-0.098,-0.004,0.092
LINKUSDT,557,558,0,30.45,-8.12,-38.57,0.047,40.88,47.22,1.005,383,-0.11,-0.012,0.091
UNIUSDT,601,601,0,53.21,7.15,-46.06,0.403,54.09,42.43,1.054,399,-0.109,-0.01,0.09
ETCUSDT,563,563,0,12.02,-36.87,-48.89,-0.517,47.98,44.94,0.921,399,-0.114,-0.009,0.09
