symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,35,22,14,37.4,-14.09,-51.49,0.018,30.54,40.0,1.008,399
AXSUSDT,61,44,18,17.11,-38.06,-55.17,0.311,70.94,29.51,1.194,399
COMPUSDT,48,20,29,38.63,-3.25,-41.87,0.28,33.89,39.58,1.117,399
LINKUSDT,45,18,27,-20.53,-58.98,-38.45,-1.019,68.83,35.56,0.698,384
UNIUSDT,40,11,30,-19.73,-67.84,-48.1,-1.314,77.72,42.5,0.597,399
ETCUSDT,40,16,25,92.45,41.59,-50.86,0.798,44.04,55.0,1.404,399
LDOUSDT,52,17,36,37.52,-22.48,-60.0,0.22,66.29,32.69,1.087,399
AVAXUSDT,53,30,24,-0.97,-55.22,-54.25,-0.653,73.72,32.08,0.806,378
SOLUSDT,33,28,5,37.13,3.92,-33.2,0.336,39.53,45.45,1.156,397
DOGEUSDT,31,22,9,25.51,-23.16,-48.67,-0.101,44.56,35.48,0.954,384
