symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,22,6,16,46.78,-7.16,-53.94,0.173,34.2,50.0,1.127,370
AXSUSDT,15,8,7,40.68,-6.37,-47.05,0.264,56.8,53.33,1.248,370
COMPUSDT,21,9,12,81.42,35.3,-46.13,0.802,37.95,57.14,1.532,370
LINKUSDT,22,10,12,28.9,-2.61,-31.51,0.088,26.14,36.36,1.044,355
UNIUSDT,21,11,10,43.18,-1.77,-44.95,0.244,29.57,52.38,1.144,370
ETCUSDT,23,9,14,19.94,-30.7,-50.64,-0.898,44.54,43.48,0.614,370
LDOUSDT,22,12,10,98.37,41.15,-57.22,0.859,24.51,50.0,1.577,370
AVAXUSDT,22,13,10,11.15,-44.84,-55.99,-1.476,50.98,27.27,0.462,349
SOLUSDT,22,10,12,122.06,78.25,-43.81,1.708,13.07,59.09,2.344,368
DOGEUSDT,20,7,13,60.07,15.71,-44.37,0.526,25.68,45.0,1.336,355
