symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,18,1,17,66.12,15.92,-50.2,0.551,26.01,61.11,1.406,384
AXSUSDT,16,1,15,-32.8,-75.37,-42.57,-1.643,79.1,43.75,0.288,384
COMPUSDT,21,0,21,-1.21,-44.51,-43.3,-0.955,50.4,38.1,0.599,384
LINKUSDT,15,1,14,55.26,19.5,-35.77,0.707,28.92,46.67,1.514,369
UNIUSDT,17,3,14,24.77,-13.99,-38.76,0.167,45.19,64.71,1.122,385
ETCUSDT,17,1,16,23.1,-22.73,-45.84,-0.552,40.01,47.06,0.722,384
LDOUSDT,22,2,20,85.24,34.39,-50.85,0.789,33.44,54.55,1.501,384
AVAXUSDT,14,2,13,70.47,19.63,-50.84,0.665,21.53,50.0,1.53,363
SOLUSDT,19,0,19,87.89,50.73,-37.16,1.216,13.91,63.16,1.972,383
DOGEUSDT,17,0,17,30.32,-15.5,-45.82,-0.093,34.56,52.94,0.947,369
