symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,107,51,56,66.76,18.8,-47.97,0.58,55.23,57.01,1.416,398
AXSUSDT,193,74,119,-9.65,-62.85,-53.2,-0.458,73.63,41.45,0.853,398
COMPUSDT,125,49,76,60.79,17.87,-42.92,0.627,57.29,50.4,1.337,399
LINKUSDT,112,62,50,38.3,-0.2,-38.51,0.455,60.41,48.21,1.338,383
UNIUSDT,196,83,113,-16.65,-62.64,-45.99,-0.04,75.73,43.37,0.979,398
ETCUSDT,103,51,52,39.28,-9.89,-49.17,0.229,53.73,50.49,1.132,398
LDOUSDT,198,93,105,20.79,-36.66,-57.45,0.432,77.26,49.49,1.319,398
AVAXUSDT,123,57,66,22.57,-30.92,-53.49,0.331,70.08,43.9,1.293,377
SOLUSDT,103,58,45,41.68,8.82,-32.87,0.382,30.48,51.46,1.162,397
DOGEUSDT,138,67,71,79.43,30.81,-48.62,0.691,64.09,50.72,1.581,383
