symbol,n_trades,n_long,n_short,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,256,256,0,43.89,-3.4,-47.29,0.068,33.22,44.92,1.011,384
AXSUSDT,267,267,0,56.17,15.94,-40.23,0.513,54.98,45.32,1.104,384
COMPUSDT,272,272,0,4.26,-39.03,-43.29,-1.048,51.48,42.28,0.844,384
DOGEUSDT,264,264,0,59.45,13.07,-46.37,0.514,21.51,48.11,1.088,368
LDOUSDT,273,273,0,79.83,29.91,-49.91,0.797,32.61,50.18,1.143,384
SOLUSDT,259,259,0,41.67,6.9,-34.77,0.354,26.51,45.56,1.06,382
AVAXUSDT,274,274,0,64.31,9.51,-54.81,0.425,28.71,46.35,1.069,366
LINKUSDT,268,268,0,44.52,8.51,-36.01,0.399,32.77,46.27,1.068,368
UNIUSDT,240,240,0,89.82,49.95,-39.88,1.006,18.18,46.67,1.26,384
ETCUSDT,271,271,0,27.3,-17.08,-44.38,-0.379,31.8,43.54,0.934,384
