symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1152,611,541,-9.58,-48.0,-38.42,-1.618,50.92,46.09,0.871,391
AXSUSDT,1320,652,668,-14.29,-63.07,-48.77,-1.948,66.94,47.58,0.854,394
COMPUSDT,1308,633,675,-19.56,-67.51,-47.95,-2.548,73.63,45.11,0.816,392
LINKUSDT,1056,547,509,-26.8,-66.97,-40.16,-3.146,70.21,44.13,0.758,375
UNIUSDT,1141,573,568,-0.46,-45.26,-44.8,-1.293,49.38,47.41,0.896,392
ETCUSDT,1228,622,606,-27.2,-74.58,-47.38,-3.732,75.87,44.14,0.719,393
LDOUSDT,1123,538,586,0.68,-54.99,-55.67,-1.604,67.18,49.07,0.874,393
AVAXUSDT,915,436,479,-8.18,-60.88,-52.69,-2.791,68.22,44.7,0.78,367
SOLUSDT,974,503,471,35.12,1.86,-33.26,0.201,26.67,48.67,1.019,393
DOGEUSDT,1132,557,575,0.24,-45.93,-46.17,-1.29,50.48,45.05,0.882,377
