symbol,n_trades,n_long_attempts,n_short_attempts,n_units,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,bias_max_abs_bps,bias_mean_abs_bps,oos_days,tod_unit
HBARUSDT,2468,1223,1246,24,-41.25,-88.94,-47.69,-1.625,89.29,45.54,0.818,13.306,3.777,399,hour
AXSUSDT,2106,413,1694,24,1.75,-51.5,-53.26,-0.153,73.11,49.95,0.982,14.597,3.378,399,hour
COMPUSDT,2454,1227,1228,24,-15.25,-57.63,-42.38,-0.234,70.27,47.6,0.968,10.903,3.95,399,hour
DOGEUSDT,1566,1174,392,24,-21.17,-69.27,-48.1,-0.431,75.38,43.81,0.904,11.133,3.413,383,hour
LDOUSDT,2098,826,1272,24,-19.77,-79.83,-60.07,-0.134,90.49,47.43,0.972,10.528,3.594,399,hour
SOLUSDT,1228,401,827,24,-26.68,-60.17,-33.49,-2.538,60.52,43.65,0.806,6.589,3.286,397,hour
AVAXUSDT,1532,382,1151,24,6.84,-45.75,-52.58,0.191,71.89,47.65,1.054,10.327,3.999,381,hour
LINKUSDT,1963,780,1184,24,-31.02,-69.69,-38.67,-0.618,75.88,45.95,0.905,11.925,3.875,383,hour
UNIUSDT,2099,426,1674,24,-33.76,-81.19,-47.43,-2.871,81.35,45.83,0.828,9.747,3.932,399,hour
ETCUSDT,814,404,410,24,-8.2,-58.47,-50.27,-1.022,60.73,46.31,0.761,6.52,2.364,399,hour
