symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,419,190,229,-36.88,-75.07,-38.19,-2.514,79.1,40.81,0.661,391
AXSUSDT,500,237,263,-27.21,-75.38,-48.17,-1.68,78.51,37.8,0.764,394
COMPUSDT,463,232,231,-17.05,-64.84,-47.79,-1.892,73.29,38.88,0.751,392
LINKUSDT,432,216,216,-12.08,-52.21,-40.13,-1.13,60.9,46.76,0.829,375
UNIUSDT,447,239,208,-27.7,-72.24,-44.54,-1.248,83.8,44.07,0.785,392
ETCUSDT,460,232,228,-0.77,-48.08,-47.3,-1.353,68.82,46.3,0.818,393
LDOUSDT,465,239,226,-32.55,-88.42,-55.87,-1.183,94.89,45.16,0.771,393
AVAXUSDT,434,208,226,86.7,33.34,-53.36,0.844,37.1,49.08,1.13,367
SOLUSDT,428,179,249,30.63,-2.41,-33.05,0.111,40.12,49.53,1.016,393
DOGEUSDT,418,214,204,-51.24,-97.52,-46.28,-3.083,98.24,40.19,0.444,376
