symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,227,19.28,-27.09,-46.36,-1.301,34.78,41.41,0.794,384
AXSUSDT,217,10.21,-28.92,-39.12,-1.167,36.23,45.16,0.818,384
COMPUSDT,179,65.3,21.98,-43.32,1.121,13.24,53.63,1.247,384
DOGEUSDT,171,40.79,-4.63,-45.42,-0.083,24.81,51.46,0.982,368
LDOUSDT,168,16.89,-32.59,-49.48,-1.462,39.42,40.48,0.737,384
SOLUSDT,186,49.0,13.06,-35.94,0.669,16.25,49.46,1.152,382
AVAXUSDT,167,15.66,-38.78,-54.44,-2.083,38.78,38.92,0.638,365
LINKUSDT,161,6.48,-29.09,-35.58,-1.869,30.62,44.1,0.68,368
UNIUSDT,191,34.54,-5.41,-39.96,-0.106,16.81,48.17,0.979,384
ETCUSDT,175,6.49,-37.62,-44.11,-2.715,42.5,44.57,0.582,384
