symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,267,156,111,4.99,-43.83,-48.82,-1.604,46.44,39.7,0.735,398
AXSUSDT,277,153,124,97.01,43.64,-53.37,0.978,26.28,42.96,1.221,398
COMPUSDT,266,154,112,9.27,-31.86,-41.13,-0.825,40.94,40.98,0.843,398
LINKUSDT,280,138,142,4.15,-34.63,-38.77,-1.282,37.27,40.71,0.797,382
UNIUSDT,285,152,133,53.58,8.28,-45.3,0.371,26.08,41.05,1.078,399
ETCUSDT,289,157,132,52.31,4.12,-48.19,0.269,23.72,42.56,1.057,399
LDOUSDT,293,170,123,47.14,-9.78,-56.92,-0.018,28.64,43.34,0.997,399
AVAXUSDT,273,142,131,29.67,-24.55,-54.21,-0.711,34.73,43.22,0.879,376
SOLUSDT,273,142,132,48.04,14.64,-33.39,0.622,13.88,46.89,1.117,396
DOGEUSDT,289,144,145,21.6,-27.15,-48.76,-0.858,33.13,46.02,0.87,382
