symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,20,8,12,185.36,135.16,-50.2,2.235,12.73,65.0,4.84,384
AXSUSDT,12,1,11,37.51,-5.06,-42.57,0.24,47.86,66.67,1.226,384
COMPUSDT,16,1,15,25.61,-17.69,-43.3,-0.219,45.34,56.25,0.846,384
LINKUSDT,14,5,10,55.43,19.67,-35.77,0.784,20.39,64.29,1.684,369
UNIUSDT,18,8,11,121.57,82.81,-38.76,1.801,21.59,72.22,3.153,385
ETCUSDT,16,3,13,74.89,29.06,-45.84,0.921,15.78,56.25,1.994,384
LDOUSDT,14,4,10,220.59,169.73,-50.85,3.146,7.08,78.57,9.124,384
AVAXUSDT,21,7,14,176.81,125.96,-50.84,2.674,11.0,71.43,4.64,363
SOLUSDT,17,7,10,214.16,177.0,-37.16,3.724,2.45,76.47,14.471,383
DOGEUSDT,15,10,6,319.09,273.27,-45.82,2.997,3.23,86.67,37.193,369
