symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,8,4,4,115.73,65.53,-50.2,1.763,8.37,75.0,6.475,384
AXSUSDT,5,0,5,100.91,58.34,-42.57,2.592,0.0,100.0,inf,384
COMPUSDT,10,1,9,22.29,-21.01,-43.3,-0.385,43.43,60.0,0.711,384
LINKUSDT,8,4,5,54.0,18.23,-35.77,0.798,14.32,75.0,2.002,369
UNIUSDT,7,2,5,91.82,53.06,-38.76,2.152,1.55,85.71,30.345,385
ETCUSDT,9,3,6,82.97,37.13,-45.84,1.221,14.59,66.67,2.919,384
LDOUSDT,9,3,6,115.6,64.75,-50.85,1.538,14.67,66.67,3.527,384
AVAXUSDT,8,4,4,99.03,48.19,-50.84,1.527,15.12,75.0,3.804,363
SOLUSDT,7,3,4,70.23,33.07,-37.16,1.663,4.07,57.14,5.642,383
DOGEUSDT,5,2,3,84.95,39.13,-45.82,2.487,0.0,100.0,inf,369
