symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,127,61,66,71.5,23.49,-48.01,0.787,20.25,49.61,1.272,399
AXSUSDT,277,135,142,33.42,-20.43,-53.85,-0.326,45.0,48.38,0.947,399
COMPUSDT,141,73,68,52.87,10.16,-42.71,0.478,14.14,56.74,1.117,399
LINKUSDT,118,68,50,50.21,11.73,-38.48,0.694,11.04,55.08,1.186,383
UNIUSDT,191,93,98,61.81,14.24,-47.58,0.548,24.69,49.74,1.148,399
ETCUSDT,89,46,43,69.57,19.16,-50.41,0.663,16.77,52.81,1.353,399
LDOUSDT,249,122,127,51.59,-8.62,-60.21,-0.089,23.67,50.6,0.984,399
AVAXUSDT,102,52,50,69.24,15.84,-53.39,0.873,8.98,54.9,1.278,377
SOLUSDT,84,47,37,59.6,26.17,-33.43,1.506,9.99,52.38,1.642,397
DOGEUSDT,137,71,66,63.76,15.7,-48.06,0.818,12.76,53.28,1.224,383
