symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,159,72,87,56.31,8.18,-48.13,0.376,20.63,49.06,1.107,399
AXSUSDT,370,179,191,26.79,-27.01,-53.81,-0.46,43.87,48.11,0.938,399
COMPUSDT,191,90,101,50.74,8.0,-42.74,0.389,24.89,54.45,1.076,399
LINKUSDT,147,81,66,38.74,0.26,-38.48,0.109,22.81,51.7,1.024,383
UNIUSDT,255,128,127,32.55,-15.09,-47.64,-0.43,33.07,52.55,0.928,399
ETCUSDT,112,59,53,51.77,1.35,-50.42,0.158,21.93,51.79,1.041,399
LDOUSDT,322,160,162,48.01,-12.15,-60.16,-0.13,42.36,50.93,0.98,399
AVAXUSDT,149,72,77,66.24,12.84,-53.39,0.74,9.82,55.03,1.172,377
SOLUSDT,122,64,58,61.94,28.51,-33.43,1.414,11.21,51.64,1.446,397
DOGEUSDT,183,92,91,73.48,25.42,-48.06,1.082,10.69,53.55,1.249,383
