symbol,n_trades,n_trend_entries,n_rev_entries,alpha_pct,trend_alpha_sum,rev_alpha_sum,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,89,35,54,44.53,-8.76,6.71,-3.95,-48.48,-0.097,17.8,42.7,0.972,399
AXSUSDT,100,35,65,30.98,-25.8,9.07,-21.65,-52.63,-0.419,42.39,43.0,0.873,399
COMPUSDT,121,40,81,12.58,-63.7,42.41,-27.82,-40.4,-0.448,48.38,47.93,0.852,399
DOGEUSDT,104,44,60,85.85,16.32,18.62,37.26,-48.59,1.304,10.58,50.0,1.544,383
LDOUSDT,105,50,55,-8.77,-79.09,65.92,-66.26,-57.49,-0.122,82.62,47.62,0.929,399
SOLUSDT,64,16,48,64.24,14.98,14.35,31.42,-32.83,1.385,8.61,53.12,1.754,397
AVAXUSDT,83,38,45,74.58,15.07,9.25,21.98,-52.6,0.761,18.1,43.37,1.352,380
LINKUSDT,68,28,40,50.89,17.89,-0.26,12.24,-38.65,0.45,19.18,36.76,1.308,383
UNIUSDT,99,53,46,61.19,-4.69,23.9,15.08,-46.11,0.551,28.62,41.41,1.195,399
ETCUSDT,84,29,55,81.34,10.63,19.73,32.55,-48.79,1.373,9.41,50.0,1.594,399
