symbol,n_trades,n_trend_entries,n_rev_entries,alpha_pct,trend_alpha_sum,rev_alpha_sum,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,169,59,110,37.98,-6.36,-2.38,-10.37,-48.35,-0.39,23.1,42.01,0.902,398
AXSUSDT,183,53,130,54.14,-13.36,23.02,1.57,-52.57,0.234,31.03,53.01,1.071,398
COMPUSDT,225,58,167,-8.29,-61.88,5.41,-48.56,-40.27,-1.292,56.78,41.78,0.682,398
DOGEUSDT,194,65,129,40.49,7.13,-13.2,-8.1,-48.59,-0.266,15.49,43.3,0.932,383
LDOUSDT,183,88,95,-12.39,-90.42,68.53,-69.92,-57.53,-0.195,82.04,47.54,0.891,399
SOLUSDT,119,30,89,46.3,19.36,-5.31,13.49,-32.8,0.794,12.11,49.58,1.297,397
AVAXUSDT,152,70,82,46.96,0.44,-2.9,-5.77,-52.72,-0.088,17.35,42.76,0.975,380
LINKUSDT,133,50,83,98.57,36.08,15.95,59.92,-38.65,1.49,9.45,55.64,2.027,383
UNIUSDT,180,93,87,40.89,-11.89,10.41,-5.17,-46.06,-0.05,29.3,45.56,0.987,399
ETCUSDT,141,47,94,63.38,9.63,6.62,14.48,-48.89,0.634,9.88,46.81,1.284,399
