symbol,n_trades,n_trend_entries,n_rev_entries,alpha_pct,trend_alpha_sum,rev_alpha_sum,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,110,0,110,45.27,0.0,-2.38,-3.08,-48.35,-0.184,14.72,45.45,0.951,398
AXSUSDT,130,0,130,75.62,0.0,23.02,23.06,-52.57,1.017,12.43,56.92,1.37,398
COMPUSDT,167,0,167,43.69,0.0,5.41,3.42,-40.27,0.251,17.11,44.31,1.069,398
DOGEUSDT,129,0,129,67.87,0.0,23.19,19.28,-48.59,0.621,15.28,42.64,1.424,383
LDOUSDT,95,0,95,124.35,0.0,68.53,66.82,-57.53,0.944,14.62,47.37,2.067,399
SOLUSDT,90,0,90,34.1,0.0,2.13,1.3,-32.8,0.156,12.11,48.89,1.056,397
AVAXUSDT,84,0,84,65.5,0.0,14.95,12.78,-52.72,0.577,14.75,44.05,1.285,380
LINKUSDT,84,0,84,116.18,0.0,68.32,77.53,-38.65,1.248,9.16,58.33,3.326,383
UNIUSDT,88,0,88,120.27,0.0,68.78,74.2,-46.06,1.1,8.91,53.41,2.697,399
ETCUSDT,94,0,94,55.24,0.0,6.62,6.35,-48.89,0.652,5.67,51.06,1.214,399
