announce_ts,delist_ts,symbol,gap_days,source_title
2026-04-24T11:15:13.345000+00:00,2026-04-28T00:00:00+00:00,AIUSDT,3.531,Binance Futures Will Delist USDⓈ-M Multiple Perpetual Contracts (2026-04-28)
2026-04-24T11:15:13.345000+00:00,2026-04-28T00:00:00+00:00,VINEUSDT,3.531,Binance Futures Will Delist USDⓈ-M Multiple Perpetual Contracts (2026-04-28)
2026-04-23T15:00:37.768000+00:00,2026-04-28T00:00:00+00:00,B3USDT,4.375,Binance Futures Will Delist USDⓈ-M Multiple Perpetual Contracts (2026-04-28 & 2026-04-29)
2026-04-23T15:00:37.768000+00:00,2026-04-28T00:00:00+00:00,BOBUSDT,4.375,Binance Futures Will Delist USDⓈ-M Multiple Perpetual Contracts (2026-04-28 & 2026-04-29)
2026-04-23T15:00:37.768000+00:00,2026-04-28T00:00:00+00:00,DAMUSDT,4.375,Binance Futures Will Delist USDⓈ-M Multiple Perpetual Contracts (2026-04-28 & 2026-04-29)
2026-04-23T15:00:37.768000+00:00,2026-04-28T00:00:00+00:00,DEGENUSDT,4.375,Binance Futures Will Delist USDⓈ-M Multiple Perpetual Contracts (2026-04-28 & 2026-04-29)
2026-04-23T15:00:37.768000+00:00,2026-04-28T00:00:00+00:00,IRUSDT,4.375,Binance Futures Will Delist USDⓈ-M Multiple Perpetual Contracts (2026-04-28 & 2026-04-29)
2026-04-23T15:00:37.768000+00:00,2026-04-28T00:00:00+00:00,ZKJUSDT,4.375,Binance Futures Will Delist USDⓈ-M Multiple Perpetual Contracts (2026-04-28 & 2026-04-29)
2026-04-03T13:59:31.078000+00:00,2026-04-08T00:00:00+00:00,HIPPOUSDT,4.417,Binance Futures Will Delist Multiple Perpetual Contracts (2026-04-08 & 2026-04-09)
2026-04-03T13:59:31.078000+00:00,2026-04-08T00:00:00+00:00,OLUSDT,4.417,Binance Futures Will Delist Multiple Perpetual Contracts (2026-04-08 & 2026-04-09)
2026-04-03T13:59:31.078000+00:00,2026-04-08T00:00:00+00:00,PUFFERUSDT,4.417,Binance Futures Will Delist Multiple Perpetual Contracts (2026-04-08 & 2026-04-09)
