announce_ts,effective_ts,symbol,direction,source_title
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,ACEUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,ANIMEUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,BMTUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,CELRUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,HFTUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,KERNELUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,LYNUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,NOMUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,PIXELUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,PTBUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,SAPIENUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,TAGUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,VICUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-14T10:00:08.234000+00:00,2026-07-17T00:00:00+00:00,XAIUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-17)
2026-07-07T07:00:06.560000+00:00,2026-07-10T00:00:00+00:00,AERGOUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-10)
2026-07-07T07:00:06.560000+00:00,2026-07-10T00:00:00+00:00,BANUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-10)
2026-07-07T07:00:06.560000+00:00,2026-07-10T00:00:00+00:00,EULUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-10)
2026-07-07T07:00:06.560000+00:00,2026-07-10T00:00:00+00:00,GUAUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-10)
2026-07-07T07:00:06.560000+00:00,2026-07-10T00:00:00+00:00,HOMEUSDT,unknown,Update on the Collateral Ratio Under Portfolio Margin and the Leverage & Margin Tiers of USDⓈ-M Perpetual Contracts (2026-07-10)
