symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,503,6.98,-41.53,-48.51,-1.389,54.75,47.91,0.811,397
AXSUSDT,491,-4.92,-58.15,-53.23,-2.326,67.47,45.82,0.743,397
COMPUSDT,609,19.79,-20.32,-40.11,-0.291,51.89,46.63,0.954,397
DOGEUSDT,325,60.52,12.42,-48.1,0.577,18.11,45.23,1.098,383
LDOUSDT,169,17.09,-41.61,-58.7,-1.497,47.66,43.2,0.656,397
SOLUSDT,422,-5.8,-39.29,-33.49,-1.975,41.14,44.31,0.755,397
AVAXUSDT,395,0.88,-51.7,-52.58,-2.276,53.48,42.53,0.696,381
LINKUSDT,215,6.77,-31.9,-38.67,-1.217,48.13,43.26,0.752,383
UNIUSDT,233,5.95,-41.21,-47.17,-1.769,50.43,43.35,0.691,397
ETCUSDT,438,21.91,-28.12,-50.03,-1.102,37.22,44.06,0.85,397
