symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,91,14.07,1.64,-12.44,0.539,6.08,51.65,1.075,73
AXSUSDT,128,-16.6,-13.57,3.03,-2.824,17.26,42.19,0.745,73
COMPUSDT,171,-28.93,-6.09,22.84,-1.125,8.61,49.12,0.9,73
DOGEUSDT,100,20.1,7.93,-12.17,2.176,8.04,43.0,1.285,57
LDOUSDT,75,1.79,9.82,8.03,1.972,7.3,48.0,1.318,73
SOLUSDT,42,0.25,-1.0,-1.25,-0.431,6.38,61.9,0.917,73
AVAXUSDT,79,18.26,4.17,-14.09,0.966,7.85,43.04,1.143,60
LINKUSDT,50,17.85,9.9,-7.96,3.629,2.61,56.0,1.73,57
UNIUSDT,60,-1.83,-10.29,-8.46,-2.734,12.73,50.0,0.642,73
ETCUSDT,94,4.01,-0.02,-4.03,0.097,10.04,51.06,1.013,73
