symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,89,41.26,-7.09,-48.35,-0.184,24.07,47.19,0.919,398
AXSUSDT,122,38.05,-14.51,-52.57,-0.842,18.21,47.54,0.806,398
COMPUSDT,130,49.37,9.1,-40.27,0.546,14.5,54.62,1.186,398
DOGEUSDT,34,69.79,21.69,-48.1,1.829,2.99,58.82,3.032,383
LDOUSDT,66,32.83,-24.31,-57.14,-0.88,38.89,51.52,0.622,398
SOLUSDT,56,23.45,-10.04,-33.49,-1.128,13.7,44.64,0.625,397
AVAXUSDT,50,43.43,-9.83,-53.26,-0.497,23.86,48.0,0.76,377
LINKUSDT,33,23.93,-14.74,-38.67,-0.816,21.94,39.39,0.501,383
UNIUSDT,73,43.62,-1.71,-45.33,0.005,20.44,52.05,1.002,398
ETCUSDT,82,90.83,42.3,-48.53,1.198,6.5,52.44,2.42,398
