symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,avg_funding_per_trade_pct,funding_share_of_pnl,oos_days
SOLUSDT,7,48.01,2.05,-45.96,0.448,7.16,57.14,1.308,0.0223,0.069,177
HBARUSDT,7,68.73,18.99,-49.74,2.228,3.97,85.71,5.582,0.0031,0.001,177
AXSUSDT,15,68.84,38.85,-29.99,2.584,10.99,73.33,3.054,1.7169,0.71,105
DOGEUSDT,4,35.02,-0.79,-35.81,-0.253,3.65,50.0,0.802,0.0097,-0.054,176
UNIUSDT,8,40.57,-3.26,-43.82,-0.82,7.79,50.0,0.604,-0.0035,0.009,176
PYTHUSDT,22,36.13,-14.71,-50.84,-0.841,21.26,40.91,0.711,0.0196,-0.032,176
TONUSDT,31,22.3,-11.11,-33.42,-1.036,18.23,48.39,0.69,0.0092,-0.027,176
ICPUSDT,10,51.82,-10.38,-62.2,-1.664,14.47,40.0,0.335,0.1789,-0.17,174
ETCUSDT,11,58.81,12.03,-46.78,1.187,6.92,54.55,2.515,-0.0028,-0.003,176
JUPUSDT,26,28.38,-22.62,-51.0,-1.816,30.57,30.77,0.551,0.0307,-0.034,174
COMPUSDT,9,63.6,31.76,-31.84,1.732,5.87,55.56,2.948,0.8636,0.252,171
WLDUSDT,12,50.18,-20.99,-71.17,-3.305,20.99,33.33,0.179,0.0342,-0.018,177
LDOUSDT,7,47.18,-6.36,-53.55,-1.639,8.17,42.86,0.301,-0.0034,0.004,176
1000LUNCUSDT,10,-11.82,132.86,144.68,1.394,10.11,40.0,9.882,0.1429,0.01,175
