symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,avg_funding_per_trade_pct,funding_share_of_pnl,oos_days
HBARUSDT,48,55.45,0.53,-54.91,0.238,31.14,56.25,1.066,0.0093,0.087,181
AXSUSDT,37,-2.39,-9.16,-6.77,-0.007,32.66,45.95,0.998,0.2742,-47.202,181
COMPUSDT,51,56.33,20.07,-36.26,0.997,29.17,54.9,1.3,0.1616,0.347,181
DOGEUSDT,28,35.14,-7.21,-42.35,-0.26,24.5,53.57,0.913,0.0137,-0.085,181
LDOUSDT,39,61.61,3.44,-58.17,0.371,27.19,51.28,1.111,0.0097,0.044,181
SOLUSDT,35,46.18,-8.93,-55.11,-0.328,22.14,48.57,0.895,0.027,-0.156,181
AVAXUSDT,44,14.64,-36.92,-51.55,-2.569,38.9,40.91,0.47,0.0191,-0.019,181
LINKUSDT,40,50.68,3.03,-47.65,0.34,26.08,50.0,1.111,0.0197,0.122,181
UNIUSDT,46,48.49,3.56,-44.93,0.484,36.19,56.52,1.173,0.0126,0.034,181
ETCUSDT,37,138.0,89.66,-48.34,3.504,6.07,70.27,3.723,0.0104,0.006,181
WLDUSDT,53,42.6,-29.15,-71.75,-0.959,39.55,47.17,0.791,0.0344,-0.068,181
JUPUSDT,38,42.61,-14.06,-56.66,-0.365,42.48,42.11,0.897,0.0212,-0.088,181
PYTHUSDT,37,29.63,-25.26,-54.89,-1.508,25.26,48.65,0.666,0.0063,-0.009,181
TONUSDT,33,28.53,-13.68,-42.2,-0.88,21.76,45.45,0.713,0.007,-0.018,181
