symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,avg_funding_per_trade_pct,funding_share_of_pnl,oos_days
HBARUSDT,34,47.04,-7.87,-54.91,-0.354,23.75,55.88,0.888,0.0061,-0.037,181
AXSUSDT,39,-18.81,-25.58,-6.77,-0.875,32.83,41.03,0.763,0.2691,-0.458,181
COMPUSDT,48,40.74,4.48,-36.26,0.408,23.85,41.67,1.124,0.1715,0.948,181
DOGEUSDT,18,20.8,-21.55,-42.35,-2.212,23.27,38.89,0.383,0.0161,-0.013,181
LDOUSDT,22,65.32,7.16,-58.17,0.664,9.29,54.55,1.305,0.0068,0.018,181
SOLUSDT,29,51.42,-3.69,-55.11,-0.206,14.04,44.83,0.925,0.026,-0.31,181
AVAXUSDT,34,10.5,-41.05,-51.55,-2.998,45.08,44.12,0.369,0.0199,-0.014,181
LINKUSDT,29,49.96,2.3,-47.65,0.313,16.96,62.07,1.117,0.0214,0.178,181
UNIUSDT,31,69.89,24.96,-44.93,1.31,16.19,51.61,1.575,0.0126,0.015,181
ETCUSDT,28,86.54,38.19,-48.34,1.98,12.63,60.71,2.152,0.0136,0.011,181
WLDUSDT,38,21.27,-50.48,-71.75,-3.269,50.48,31.58,0.392,0.0549,-0.032,181
JUPUSDT,32,24.64,-32.02,-56.66,-1.983,37.46,43.75,0.548,0.0223,-0.02,181
PYTHUSDT,24,52.97,-1.92,-54.89,0.004,18.97,54.17,1.002,0.0038,1.411,181
TONUSDT,27,25.69,-16.51,-42.2,-1.712,17.82,44.44,0.494,0.0051,-0.008,181
